"FdMortalityID","LkupSpeciesID","FdNaturalM","FdFishingM","FdTotalM","LkupMortalityEstMethod","FdMortalityAgeRng","FdExploitationRate","FdExpoitationRatio"
"225","55","0.382-0.51 (males ages 8-10) - Carr Inlet pop","","","17","0+ english sole","",""
"226","55","instantaneous M: 0.00175 (August) to  0.0075 per day (September)","","","17","0+ english sole","",""
"227","55","females(3-5 yrs): 0.36 males(3-5 yrs):0.33","","","","","",""
"228","55","females(8-10yrs):0.27-0.48 males(8-10yrs) 0.38-0.50 ","","","","","",""
"229","55","females: 0.30 males:0.38 (annually)","","","","","",""
"230","55","both: 0.1 (Saratoga Passage)","0.36-0.46  (Saratoga Passage)","","","","",""
"231","55","0.294","","","","ages 4-13","",""
"232","55","","0.775","","","","",""
"233","55","Carr Inlet pop:","","","17","0+ english sole","",""
"235","62","99.8-99.9% (egg and larval period)","","","","","",""
"236","80","0.112","0.162","0.274","38","6 to 15","0.142","0.591"
"237","80","","","0.2744","37","6 to 15","",""
"238","83","0.1127","0.0686","0.1813","50","5 to 34","0.0627","0.378"
"239","83","0.131","0.101","0.232","38","9 to 18","0.09","0.435"
"240","83","","","0.2329","37","9 to 18","",""
"241","88","0.1- Males; 0.12- Females","0.33- Males; 0.19- Females","0.43Males; 0.31- Females","22","2 to 46","","0.77(M)/0.61(F)"
"242","88","0.1- Males; 0.12- Females","0.33- Males; 0.21- Females","0.43Males; 0.31- Females","41","2 to 46","","0.77(M)/0.68(F)"
"243","88","0.15- Females","0.16- Females","0.43Males; 0.31- Females","36","2 to 46","","0.55(F)"
"244","128","0.04- Males;0.05- Females","0.31- Males; 0.34- Females","0.35- Males;0.39- Females","22","6 to 64","","0.89- Males; 0.87- Females"
"245","128","0.07- Males; 0.07- Females","0.28- Males; 0.32- Females","0.35- Males; 0.39- Females","40","6 to 64","","0.8- Males; 0.82- Females"
"246","128","0.04- Females","0.35- Females","0.39- Females","36","6 to 64","","0.9- Females"
"247","93","0.1253","0.0258","0.1511","50","6 to 37","0.0239","0.171"
"248","93","","","0.06 to 0.09","","","",""
"249","93","0.115","0.112","0.227","38","9 to 16","0.156","0.493"
"250","93","","","0.49644","37","9 to 16","",""
"251","93","","","0.21","","","",""
"252","77","0.409- Males; 0.336 to 0.704- Females","0.283- Both","0.692- Males; 0.619 to 0.987- Females","50","6 to 16 (both sexes)","","0.408- Males; 0.287 to 0.457- Females"
"253","77","0.3081","0.02","0.3281","26","3 to 14","0.0171","0.061"
"254","77","0.2 to 0.4   ","","","20","","",""
"255","77","","","0.28","20","15 to 25","",""
"256","77","0.28","","","47","","",""
"257","77","0.1- Males; 0.12- Females","","","41","max. age: 42 for males; 34 for females","",""
"258","77","0.17- Males; 0.24- Females","","","20","9 to 16","",""
"259","77","0.19- Males; 0.26- Females","","","17","","",""
"260","77","0.249","0.093","0.342","38","4 to 12","0.079","0.272"
"261","77","","","0.276","20","7 to 14","",""
"262","77","","","0.4 to 0.54","20","12 to 17","",""
"263","77","","","0.51 to 0.6","25","12 to 17","",""
"264","77","                                                                  ","","0.51395","37","4 to 12","",""
"265","79","","","0.26","12","2 to 19","",""
"266","79","","","1.2 (doubtful)","52","","",""
"267","79","0.14","","0.14","","juveniles","",""
"268","79","","","0.26","20","5 and older","",""
"269","79","0.006 (0.001 to 0.008)","","","20","Young-of-the-year","",""
"270","129","0.08","","NA","47","","",""
"271","129","","","0.02","20","21 to 57","",""
"272","129","","","0.03","20","16 to 76","",""
"273","129","","","0.04","20","16 to 48","",""
"274","129","","","0.04","20","18 to 54","",""
"275","129","","","0.05","20","15 to 51","",""
"276","129","0.06;0.6 to 0.2","0.5","0.56;0.56 to 0.7","20","Males (all ages)/Females (1-10);Females 11 to > 25","0.2 (overall)","0.71 to 0.89"
"277","129","","","0.096; 0.145","41","Males 47yrs.; Females 31 yrs.","",""
"278","129","","","0.262","20","8 to 18","",""
"279","129","","","0.15 to 0.16","20","15 to 23","",""
"280","129","","","0.36 to 0.4","25","15 to 23","",""
"281","129","","","0.89;0.178","20","Males: 12-34;Females:12-60","",""
"282","130","","","0.1","20","11 to 32","",""
"283","130","0.1- Males; 0.17- Females","0.85- Males; 0.45- Females","0.95- Males; 0.62- Females","21","4 to 34","","0.89- Males; 0.73- Females"
"284","130","0.13- Females","0.49 Females","0.62- Females","35","4 to 34","","0.79- Females"
"285","130","0.13- Males; 0.16- Females","0.82- Males; 0.46- Females","0.95- Males; 0.62- Females","39","4 to 34","","0.86-Males; 0.74- Females"
"286","104","0.02","","0.0174 ± 0.0053","","","",""
"287","104","","","0.33","20","14 and older","",""
"288","95","0.06","0.06","0.12","41","","",""
"289","95","0.05","","","","","",""
"290","95","0.05/0.07/0.09","","","41","","",""
"291","95","0.07","","0.117- Males; 0.171- Females","20","16 to 56","",""
"292","91","0.08 to 0.12","","","","","",""
"293","111","0.18338","0.539 to 0.568","0.723 to 0.751","17","5 to 9","","0.7558"
"294","111","","","0.62 to 0.976","25","5 to 9","",""
"295","111","","","0.667 to 0.794","25","5 to 9","",""
"296","111","","","0.726 to 0.764","25","5 to 9","",""
"297","112","M=0.094(instantaneous)","","","15","","",""
"298","112","M=0.10   202","","","","","",""
"299","113","M=0.14 ","","","46","","",""
"300","113","M=0.15-0.20","","","41","","",""
"301","123","M= 0.14 (after first yr.)  ","","","","","",""
"302","123","M=0.28 (first yr. of life)","0.038-0.163   ","","41","","",""
"303","123","M=0.15  ","","","41","","",""
