"LkupInteractionID","FdInteraction"
"282","parasitized by the families Echinorhynchidae, Polymorphidae, Argulidae, Bothriocephalidae, Phyllobothriidae, Tentaculariidae, Bomolochidae, Caligidae, Chondracanthidae, Lernaeopodidae, Naobranchiidae, Philichthyidae, Acanthocolpidae, Gorgoderidae, Hemiuridae, Lepcreadiidae, Opecoelidae, Sanguinicolidae, Zoogonidae, Piscicolidae, Capsalidae, Microcotylidae, Anisakidae, Capillariidae, Cucullanidae, Cystidicolidae, and Myxidiidae"
"283","parasitized by the families Echinorhynchidae, Polymorphidae, Caligidae, Chondracanthidae, Hemiuridae, Lepocreadiidae, Opecoelidae, Sanguinicolidae, Microcotylidae, and Anisakidae"
"284","parasitized by the families Gorgoderidae, Hemiuridae, Lepcreadiidae, Opecoelidae, Sanguinicolidae, Zoogonidae, Piscicolidae, Capsalidae, Microcotylidae, Anisakidae, Capillariidae, Cucullanidae, Cystidicolidae, and Myxidiidae"
"285","parasitized by the families Hatschekiidae, Bucephalidae, Hemiuridae, and Piscicolidae"
"286","parasitized by the families Hemiuridae, Gnathiid larvae, and Cymothoidae"
"287","parasitized by the families Hemiuridae, Opecoelidae, Diclidophoridae, and Gyrodactylidae"
"288","parasitized by the families Lacistorhynchidae and Anisakidae"
"289","parasitized by the families Lacistorhynchidae, Bomolochidae, Caligidae, Lernaeopodidae, Acanthocolpidae, and Anisakidae"
"290","parasitized by the families Lepocreadiidae, Opecoelidae, Sanguinicolidae, Gnathiid larvae, and Cymothoidae"
"291","parasitized by the families Opecoelidae and Diclidophoridae"
"292","parasitized by the families Opecoelidae, Sanguinicolidae, Syncoelidae, Capsalidae, Microcotylidae, Anisakidae, and Cystidicolidae"
"293","parasitized by the families Opecoelidae, Sanguinicolidae, Syncoelidae, Casalidae, Anisakidae, and Caratomyxidae"
"294","parasitized by the families Opecoelidae, Sanguinicolidae, Zoogonidae, Aegiidae, Capsalidae, Microcotylidae, Anisakidae, Capillariidae, Cucullanidae, Cystidicolidae, and Sinuolineidae"
"295","parasitized by the families Opecoelidae, Zoogonidae, Capsalidae, Microcotylidae, Anisakidae, Cystidicolidae, and Tetracapsulidae"
"296","parasitized by the families Pennellidae, Philichthyidae, Zoogonidae, and Myxidiidae"
"297","parasitized by the families Philichthyidae, Diplangidae, Monorchiidae, Opecoelidae, Cymothoidae, and Capsalidae"
"298","parasitized by the families Polymorphidae, Phyllobothriidae, Tentaculariidae, Bomolochidae, Caligidae, Chondracanthidae, Lernaeopodidae, Naobranchiidae, Philichthyidae, Acanthocolpidae, Hemiuridae, Lepocreadiidae"
"299","parasitized by the families Polymorphidae, Phyllobothriidae, Tentaculariidae, Bomolochidae, Lernaeopodidae, Philichthyidae, Bucephalidae, Fellodistomatidae, Hemiuridae, Lepocreadiidae, "
"300","parasitized by the families Polymorphidae, Rhadinorhynchidae, Acanthocolpidae, Diplangidae, Opecoelidae, Cymothoidae, and Diplectanidae"
"301","parasitized by the families Rhadinorhynchidae, Bomolochidae, Caligidae, Hatschekiidae, Bucephalidae, Diplangidae, Monorchiidae, and Opecoelidae"
"302","parasitized by the families Tentaculariidae, Caligidae, Naobranchiidae, Philichthyidae, Hemiuridae, Opecoelidae, Sanguinicolidae, Zoogonidae, Microcotylidae, Anisakidae, and Capillariidae"
"303","parasitized by the family Gyrodactylidae"
"304","parasitized by the family Microcotylidae"
"305","parasitized by the family Opecoelidae"
"306","parasitized by the family Philichthyidae"
"307","parasitized by the genus Anisakidae"
"308","parasitized by the genus Anisakis"
"309","parasitized by the genus Lironeca"
"310","pathological evidence of stress near power plant outfalls"
"311","photophores may play a role in mating behavior"
"312","possesses venom apparatus, not toxic to humans"
"313","possible functions of bioluminescence: mimicry, warning, courtship, and counterillumination"
"314","possibly not fit for human consumption in areas of waste discharge"
"315","recruitment is enhanced by presence of older resident conspecifics, recruitment is halved by the presence of predators"
"316","removes ectoparasites from fish"
"317","removes ectoparasites from fish such as Sebastes mystinus and Chromis punctipinnis"
"318","removes ectoparasites from fish, like the blacksmith"
"319","removes external parasites from conspecifics and other fishes"
"320","reproductive organs toxic when comsumed"
"321","reproductive success decreased by contaminants introduced by humans"
"322","school with both G. nigricans and M. californiensis"
"323","school with olive rockfish; kelp bass; blacksmith; halfmoon"
"324","schooling with S. mystinus"
"325","Schooling with S. mystinus and S. serranoides; benthically with S. chrysomelas"
"326","schools with D. vacca"
"327","schools with E. lateralis"
"328","schools with G. nigricans"
"329","schools with M. californiensis"
"330","seen in same crevices as S. nigrocinctus"
"331","seen in same crevices as S. rubberimus"
"332","share same resources as S. politus and Phanerodon furcatus"
"333","sometimes schools with S. argentea"
"334","spine penetration: diatom (Chaetoceros convolutus) with siliceous spines embedded in gill tissue; possibly lethal"
"335","supply young Macrocystis with ammonium from nighttime excretions"
"336","symbiotic relationships with rockfish, lingcod, and sailfin sculpin; compete with Pacific giant octopus"
"337","temporary associations with jellyfish (Pelagia)"
"338","this species is commonly impinged on power plant intake screens"
"339","topsmelt and grunion occur together in larval and juvenile stages"
"340","urban bays in Puget Sound, WA had lower conncentrations of sand sole eggs than rural bays due to the presence contaminants"
"341","venomous dorsal spine capable of inflicting injury"
"342","viability related to protection of historic spawning grounds from pollution and habitat alterations"
"343","white seaperch and senoritas commonly aggregate and feed where bat ray are stirring up the bottom with their wings"
"344","young associated with red sea urchins"
"345","unique spawning behavior makes them vulnerable to any reduction or change in spawning habitat"
"346","parasites:copepods(Bomolachus pectinatus, Caligus olsoni, and Clauellopsis), brachiuran (Argulus melanostictus), isopods(Lironeca californica and Nerocila californica), trematodes (Asymphylodora atherinosidis and Lepocredium manteri)"
"347","associated with Fundulus parvipinnis, Clevandia ios, Gillichthys mirabilis, and Gambusia affinis"
"348","possesses venom apparatus, may have toxic action"
"350","Parasite: nematode (Contracaecum magnus)"
"352","Parasite: trematode (Genolinea robusta) in stomach"
"353","Parasite: copepod (Chondracanthus gracilis) in gill cavity"
"354","parasites: 8 families, 15 spp. (see reference)"
"355","parasites:11 families,22 spp. (see reference)"
"356","parasites: copepod (Caligus gurnardi)"
"357","parasitized by Genitocotyle acirrus, Pseudopecoelus umbrinae, and several other parasites"
