"LkupPredatorID","FdPredator"
"174","Paralabrax clauthratus"
"175","Paralabrax nebulifer"
"176","Paralichthys californicus"
"177","pelagic fish"
"178","pelicans"
"179","pigeon"
"180","pigeon guillemots"
"181","pile perch"
"182","pink footed shearwaters"
"183","pinnipeds"
"184","piscivorous birds"
"185","piscivorous fishes"
"186","planktivorous invertebrates"
"187","porbeagle shark"
"188","porpoise"
"189","possibly annelids"
"190","possibly Atedius lateralis"
"191","possibly island kelpfish"
"192","possibly northern anchovy"
"193","possibly river otters"
"194","predacious demersal fishes"
"195","predatory fishes"
"196","predatory marine animals"
"197","predatory species of marine mammals"
"198","Puget Sound rockfish (Sebastes emphaeus)"
"199","Puget Sound sculpin (Artedius meanyi)"
"200","pups eaten by lincod"
"201","purple sea urchin (Strongylocentrotus purpuratus)"
"202","pygmy sperm whales"
"203","quillback rockfish (Sebastes maliger)"
"204","red sea urchin (Strongylocentrotus franciscanus)"
"205","red-breasted merganser"
"206","reef dwelling predators"
"207","rhinoceros auklet"
"208","rhinoceros auklets"
"209","river otters"
"210","rock cod"
"211","rockcod"
"212","rockfish"
"213","sablefish"
"214","salmon"
"215","sand bass"
"216","sand sole"
"217","sand worms"
"218","sardine"
"219","Scalyhead sculpin (Artedius harringtoni)"
"220","Scorpaena guttata"
"221","scorpionfish"
"222","scorpionsfish"
"223","sea bass"
"224","sea birds"
"225","sea lions"
"226","sea otters"
"227","seals"
"228","Semicossyphus pulcher"
"229","senorita perch"
"230","senoritas"
"231","serranid basses"
"232","sevengill"
"233","shark species"
"234","sharks"
"235","sharp-nose crab (Scyra acutifrons)"
"236","sheephead"
"237","shiner perch may be predators"
"238","shiner surfperch"
"239","shore birds"
"240","shore-dwelling sculpins"
"241","shortspine thornyheads"
"242","silk shark"
"243","siphonophores"
"244","six-gill shark"
"245","skates"
"246","small fishes"
"247","snails"
"248","sooty shearwaters"
"249","soupfin sharks"
"250","spiny dogfish"
"251","spotted kelpfish"
"252","spotted sevengill shark"
"253","spring salmon"
"254","staghorn sculpin"
"255","starfish (Pisaster ochraceus)"
"256","starry flounder"
"257","starry rockfish"
"258","Steller sea lions"
"259","stream dwelling cottids"
"260","striped bass"
"261","striped surfperch (Embiotoca lateralis)"
"262","stugeon"
"263","sturgeon"
"264","such"
"265","sunflower star (Pycnopoda helianthoides)"
"266","surface feeding predators"
"267","tern"
"268","thornback"
"269","tiger shark"
"270","treefish"
"271","tropical tuna"
"272","tufted puffins"
"273","tunas"
"274","unid shrimp"
"275","various piscivores"
"276","various sea birds"
"277","waterfowl"
"278","western grebe (Aechmophorus occidentalis)"
"279","western gull"
"280","western gulls"
"281","white croakers"
"282","white seabass, juvenile"
"283","white shark"
"284","yelloweye"
"285","yelloweye rockfish"
"286","yellowfin tuna"
"287","yellowtail"
