"FdTaggingDescriptionID","LkupSpeciesID","FdTaggingDescription"
"84","97","190 km"
"85","97","up to 220 miles"
"86","12","0 naut mi"
"87","90","<5 nm"
"88","90","no movement"
"89","80","<1.3 km"
"90","80","<2 km"
"91","80","<5 nm"
"92","80",">50 km"
"93","80","no movement"
"94","85","<2 km"
"95","85","<5 nm"
"96","85","no movement"
"97","83","<5 nm"
"98","83","1.5 miles"
"99","83","no movement"
"100","87","<1km"
"101","78","<2 km"
"102","78","<5 nm"
"103","78","no movement"
"104","93","<5 nm"
"105","93","2.8 km"
"106","93","no movement"
"107","77","<5 nm"
"108","77","320 km"
"109","77","generally <10 mi"
"110","77","most no movement, but some >5 km; up to 178 km"
"111","77","no movement"
"112","77","substantial movement"
"113","77","up to 22 km"
"114","77","up to 345 miles"
"115","77","up to 619 km, but mostly no movement"
"116","103","<2 km"
"117","103","<5 nm"
"118","79","<10 km"
"119","79","<15 miles, but most <1 mile"
"120","79","<2 km"
"121","79","<5 nm"
"122","79","<5-6 miles"
"123","82","<5 nm"
"124","129","no movement"
"125","129","significant movements, up to 236 km"
"126","129","to 380 nm"
"127","86","<5 nm"
"128","94","no movement"
"129","104","no movement"
"130","92","<1 km"
"131","92","<10 km"
"132","102","no movement"
"133","9","to 404 miles"
"134","9","up to 240 miles; but most <10 miles"
"135","71","move offshore in winter"
"136","71","nighttime offshore movments to spawn"
"137","71","offshore movements at night to feed"
"138","111","to 340 miles"
"139","112","move offshore in winter and inshore in summer"
"140","112","> 7,000 km"
"141","112","long range movements > 1,600 km"
"142","112","majority of tag recoveries made in the vicinity of release; movement from 20-1,200 nautical miles (1-7 yrs)"
"143","113","2-9 km (tracked for periods of 13-25 hrs)"
"144","113","96 km in 46 days"
"145","113","tagging revealed angel sharks have a home range which they return to after a night of foraging"
"146","123","tag recoveries indicate that most leopard sharks are residents of San Francisco Bay, although some move out of bay in fall and winter"
"147","123","movements correlated with tides"
"148","123","Tracking:overall movement rate: 8.1+0.5 m/min"
"149","16","< 4.75 nautical miles (at liberty for 208 days)"
"150","16","most rays moved 1-2 nautical miles (at liberty for 2-284 days)"
