"stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name","msy","msy_units","rec_age_yr"
"FLSOLEGA","Flathead sole Gulf of Alaska","AFSC-FLSOLEGA-1978-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Hippoglossoides elassodon","Flathead sole",NA,NA,1.5
"GHALBSAI","Greenland halibut Bering Sea and Aleutian Islands","AFSC-GHALBSAI-1960-2015-HIVELY","AFSC","SS3","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut",NA,NA,0
"GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","SWFSC","SS2","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes carnatus","Gopher rockfish",101,"MT",0
"GPOCTOBSAI","Giant Pacific octopus Bering Sea and Aleutian Islands","AFSC-GPOCTOBSAI-1997-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Enteroctopodidae","Enteroctopus dofleini","Giant pacific octopus",NA,NA,NA
"GPOCTOGA","Giant Pacific octopus Gulf of Alaska","AFSC-GPOCTOGA-1997-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Enteroctopodidae","Enteroctopus dofleini","Giant pacific octopus",NA,NA,NA
"GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","PFMC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes elongatus","Greenstriped rockfish",803,"MT",0
"GRSPROCKNCAL","Greenspotted rockfish Northern Pacific Coast","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","SWFSC","SS3","USA","US West Coast","Northern Pacific Coast","Sebastidae","Sebastes chlorostictus","Greenspotted rockfish",58.8,"MT",0
"GRSPROCKSCAL","Greenspotted rockfish Southern Pacific Coast","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","SWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes chlorostictus","Greenspotted rockfish",55.9,"MT",0
"HERRCC","Pacific herring Central Coast","DFO-PAC-HERRCC-1949-2018-ASHBROOK","DFO-PAC","ICA","Canada","Canada West Coast","Central Coast","Clupeidae","Clupea pallasii pallasii","Pacific herring",NA,NA,2.5
"HERRPRD","Pacific herring Prince Rupert District","DFO-PAC-HERRPRD-1949-2018-ASHBROOK","DFO-PAC","ICA","Canada","Canada West Coast","Prince Rupert District","Clupeidae","Clupea pallasii pallasii","Pacific herring",NA,NA,2.5
"HERRPWS","Pacific herring Prince William Sound","ADFG-HERRPWS-1980-2006-COLLIE","ADFG","AD-CAM","USA","US Alaska","Prince William Sound","Clupeidae","Clupea pallasii pallasii","Pacific herring",NA,NA,3
"HERRQCI","Pacific herring Queen Charlotte Islands","DFO-PAC-HERRQCI-1949-2018-ASHBROOK","DFO-PAC","ICA","Canada","Canada West Coast","Queen Charlotte Islands","Clupeidae","Clupea pallasii pallasii","Pacific herring",NA,NA,2.5
"HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE","ADFG","AD-CAM","USA","US Alaska","Sitka","Clupeidae","Clupea pallasii pallasii","Pacific herring",NA,NA,3
"HERRSOG","Pacific herring Strait of Georgia","DFO-PAC-HERRSOG-1949-2018-ASHBROOK","DFO-PAC","ICA","Canada","Canada West Coast","Strait of Georgia","Clupeidae","Clupea pallasii pallasii","Pacific herring",NA,NA,2.5
"HERRTOG","Pacific herring Togiak District","ADFG-HERRTOG-1990-2010-HIVELY","ADFG","Unknown","USA","US Alaska","Togiak District","Clupeidae","Clupea pallasii pallasii","Pacific herring",NA,NA,NA
"HERRWCVANI","Pacific herring West Coast of Vancouver Island","DFO-PAC-HERRWCVANI-1949-2018-ASHBROOK","DFO-PAC","ICA","Canada","Canada West Coast","West Coast of Vancouver Island","Clupeidae","Clupea pallasii pallasii","Pacific herring",NA,NA,2.5
"KELPGREENLINGORECOAST","Kelp greenling Oregon Coast","NWFSC-KELPGREENLINGORECOAST-1915-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Oregon Coast","Hexagrammidae","Hexagrammos decagrammus","Kelp greenling",130,"MT",0
"KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands","AFSC-KMFLOUNBSAI-1991-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Atheresthes evermanni","Kamchatka flounder",NA,NA,1
"LINGCODNPCOAST","Lingcod Northern Pacific Coast","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","NWFSC","SS3","USA","US West Coast","Northern Pacific Coast","Hexagrammidae","Ophiodon elongatus","Lingcod",1734,"MT",0
"LINGCODSOG","Lingcod Strait of Georgia","DFO-PAC-LINGCODSOG-1927-2014-OSGOOD","DFO-PAC","SCA","Canada","Canada West Coast","Strait of Georgia","Hexagrammidae","Ophiodon elongatus","Lingcod",763,"MT",NA
"LINGCODSPCOAST","Lingcod Southern Pacific Coast","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","NWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Hexagrammidae","Ophiodon elongatus","Lingcod",1678,"MT",0
"LNOSESKA3CD","Longnose skate West Coast of Vancouver Island","DFO-PAC-LNOSESKA3CD-1954-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","West Coast of Vancouver Island","Rajidae","Beringraja rhina","Longnose skate",NA,NA,NA
"LNOSESKA4B","Longnose skate Strait of Georgia","DFO-PAC-LNOSESKA4B-1996-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Strait of Georgia","Rajidae","Beringraja rhina","Longnose skate",NA,NA,NA
"LNOSESKA5AB","Longnose skate Queen Charlotte Sound","DFO-PAC-LNOSESKA5AB-1954-2012-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Queen Charlotte Sound","Rajidae","Beringraja rhina","Longnose skate",NA,NA,NA
"LNOSESKA5CDE","Longnose skate Hecate Strait","DFO-PAC-LNOSESKA5CDE-1954-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Hecate Strait","Rajidae","Beringraja rhina","Longnose skate",NA,NA,NA
"LNOSESKAPCOAST","Longnose skate Pacific Coast","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","NWFSC","SS2","USA","US West Coast","Pacific Coast","Rajidae","Beringraja rhina","Longnose skate",1268,"MT",0
"LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastolobus altivelis","Longspine thornyhead",2529,"MT",0
"NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands","AFSC-NROCKBSAI-1977-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Sebastidae","Sebastes polyspinis","Northern rockfish",NA,NA,3
"NROCKGA","Northern rockfish Gulf of Alaska","AFSC-NROCKGA-1961-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes polyspinis","Northern rockfish",6070,"MT",2
"NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","AFSC-NRSOLEEBSAI-1975-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Eastern Bering Sea and Aleutian Islands","Pleuronectidae","Lepidopsetta polyxystra","Northern rock sole",259310,"MT",1
"NRSOLEGA","Northern rock sole Gulf of Alaska","AFSC-NRSOLEGA-1977-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Lepidopsetta polyxystra","Northern rock sole",NA,NA,0
"PANDALSMA14","Ocean shrimp Shrimp Management Area 14","DFO-PANDALSMA14-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area 14","Pandalidae","Pandalus jordani","Ocean shrimp",NA,NA,NA
"PANDALSMA16","Ocean shrimp Shrimp Management Area 16","DFO-PANDALSMA16-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area 16","Pandalidae","Pandalus jordani","Ocean shrimp",NA,NA,NA
"PANDALSMA18-19","Ocean shrimp Shrimp Management Areas 18 and 19","DFO-PANDALSMA18-19-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Areas 18 and 19","Pandalidae","Pandalus jordani","Ocean shrimp",NA,NA,NA
"PANDALSMAFR","Ocean shrimp Shrimp Management Area FR","DFO-PANDALSMAFR-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area FR","Pandalidae","Pandalus jordani","Ocean shrimp",NA,NA,NA
"PANDALSMAGTSE","Ocean shrimp Shrimp Management Area GTSE","DFO-PANDALSMAGTSE-1990-2012-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area GTSE","Pandalidae","Pandalus jordani","Ocean shrimp",NA,NA,NA
"PANDALSMAPRD","Ocean shrimp Shrimp Management Area PRD","DFO-PANDALSMAPRD-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area PRD","Pandalidae","Pandalus jordani","Ocean shrimp",NA,NA,NA
"PCOD5AB","Pacific cod Queen Charlotte Sound","DFO-PAC-PCOD5AB-1945-2014-OSGOOD","DFO-PAC","Delay difference","Canada","Canada West Coast","Queen Charlotte Sound","Gadidae","Gadus macrocephalus","Pacific cod",763.3,"MT",NA
"PCODAI","Pacific cod Aleutian Islands","AFSC-PCODAI-1991-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Aleutian Islands","Gadidae","Gadus macrocephalus","Pacific cod",NA,NA,NA
"PCODBS","Pacific cod Bering Sea","AFSC-PCODBS-1977-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Bering Sea","Gadidae","Gadus macrocephalus","Pacific cod",NA,NA,0
"PCODGA","Pacific cod Gulf of Alaska","AFSC-PCODGA-1977-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Gulf of Alaska","Gadidae","Gadus macrocephalus","Pacific cod",NA,NA,0
"PCODHS","Pacific cod Hecate Strait","DFO-PAC-PCODHS-1944-2014-OSGOOD","DFO-PAC","Delay difference","Canada","Canada West Coast","Hecate Strait","Gadidae","Gadus macrocephalus","Pacific cod",3313.1,"MT",2
"PCODWCVANI","Pacific cod West Coast of Vancouver Island","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","DFO-PAC","Delay difference","Canada","Canada West Coast","West Coast of Vancouver Island","Gadidae","Gadus macrocephalus","Pacific cod",NA,NA,2
"PERCHEBSAI","Pacific ocean perch Eastern Bering Sea and Aleutian Islands","AFSC-PERCHEBSAI-1960-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Eastern Bering Sea and Aleutian Islands","Sebastidae","Sebastes alutus","Pacific ocean perch",NA,NA,3
"PERCHQCI","Pacific ocean perch Haida Gwaii","DFO-PERCHQCI-1939-2013-WATSON","DFO","SCA","Canada","Canada West Coast","Haida Gwaii","Sebastidae","Sebastes alutus","Pacific ocean perch",1488,"MT",1
"PERCHWCVANI","Pacific ocean perch West Coast of Vancouver Island","DFO-PERCHWCVANI-1939-2013-WATSON","DFO","unknown","Canada","Canada West Coast","West Coast of Vancouver Island","Sebastidae","Sebastes alutus","Pacific ocean perch",1048,"MT",1
"PGEODWA","Pacific geoduck Washington","WDFW-PGEODWA-1980-2010-HIVELY","WDFW","Unknown","USA","US West Coast","Washington","Hiatellidae","Panopea generosa","Pacific geoduck",NA,NA,NA
"PHAKEPCOAST","Pacific hake Pacific Coast","PFMC-PHAKEPCOAST-1966-2016-WATSON","PFMC","SS3","USA","US West Coast","Pacific Coast","Merlucciidae","Merluccius productus","Pacific hake",406000,"MT",0
"PHALNPAC","Pacific halibut North Pacific","IPHC-PHALNPAC-1888-2014-HIVELY","IPHC","AD-CAM","multinational","US Alaska","North Pacific","Pleuronectidae","Hippoglossus stenolepis","Pacific halibut",NA,NA,NA
"POPERCHGA","Pacific ocean perch Gulf of Alaska","AFSC-POPERCHGA-1961-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes alutus","Pacific ocean perch",20243,"MT",2
"POPERCHPCOAST","Pacific ocean perch Pacific Coast","NWFSC-POPERCHPCOAST-1940-2011-STACHURA","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes alutus","Pacific ocean perch",1058,"MT",0
"PSOLEPCOAST","Petrale sole Pacific Coast","NWFSC-PSOLEPCOAST-1876-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Pleuronectidae","Eopsetta jordani","Petrale sole",2588,"MT",0
"QROCKPCOASTIN","Quillback rockfish Pacific Coast of Canada (Inside)","DFO-QROCKPCOASTIN-1918-2010-WATSON","DFO","BSPM","Canada","Canada West Coast","Pacific Coast of Canada (Inside)","Sebastidae","Sebastes maliger","Quillback rockfish",144,"MT",NA
"QROCKPCOASTOUT","Quillback rockfish Pacific Coast of Canada (Outside)","DFO-QROCKPCOASTOUT-1918-2010-WATSON","DFO","BSPM","Canada","Canada West Coast","Pacific Coast of Canada (Outside)","Sebastidae","Sebastes maliger","Quillback rockfish",462,"MT",NA
"REXSOLEGA","Rex sole Gulf of Alaska","AFSC-REXSOLEGA-1982-2014-SISIMP2016","AFSC","SS3","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Glyptocephalus zachirus","Rex sole",NA,NA,3
"REXSOLEPCOAST","Rex sole Pacific Coast","NWFSC-REXSOLEPCOAST-1896-2012-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Pleuronectidae","Glyptocephalus zachirus","Rex sole",1646,"MT",NA
"REYEROCKBSAI","Rougheye rockfish Bering Sea and Aleutian Islands","AFSC-REYEROCKBSAI-1974-2015-HIVELY","AFSC","SCA","USA","US Alaska","Bering Sea and Aleutian Islands","Sebastidae","Sebastes aleutianus","Rougheye rockfish",NA,NA,3
"REYEROCKGA","Rougheye rockfish Gulf of Alaska","AFSC-REYEROCKGA-1974-2010-STACHURA","AFSC","AD-CAM","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes aleutianus","Rougheye rockfish",NA,NA,NA
"RKCRABBB","Red king crab Bristol Bay","AFSC-RKCRABBB-1975-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bristol Bay","Lithodidae","Paralithodes camtschaticus","Red king crab",23645.80209,"MT",NA
"RKCRABNS","Red king crab Norton Sound","AFSC-RKCRABNS-1976-2008-JENSEN","AFSC","LBA","USA","US Alaska","Norton Sound","Lithodidae","Paralithodes camtschaticus","Red king crab",NA,NA,NA
"RKCRABPI","Red king crab Pribilof Islands","AFSC-RKCRABPI-1981-2009-JENSEN","AFSC","Survey indices","USA","US Alaska","Pribilof Islands","Lithodidae","Paralithodes camtschaticus","Red king crab",NA,NA,NA
"RSOLE5AB","Rock sole Queen Charlotte Sound","DFO-PAC-RSOLE5AB-1944-2014-OSGOOD","DFO-PAC","SCA","Canada","Canada West Coast","Queen Charlotte Sound","Pleuronectidae","Lepidopsetta bilineata","Rock sole",524,"MT",NA
"RSOLEGA","Rock sole Gulf of Alaska","AFSC-RSOLEGA-1977-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Lepidopsetta bilineata","Rock sole",NA,NA,0
"RSOLEHSTR","Rock sole Hecate Strait","DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD","DFO-PAC","SCA","Canada","Canada West Coast","Hecate Strait","Pleuronectidae","Lepidopsetta bilineata","Rock sole",1895,"MT",4
"SABLEFEBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","AFSC-SABLEFEBSAIGA-1960-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Anoplopomatidae","Anoplopoma fimbria","Sablefish",18950,"MT",2
"SABLEFPCAN","Sablefish Pacific Coast of Canada","DFO-PAC-SABLEFPCAN-1913-2010-HIVELY","DFO-PAC","BSPM","Canada","Canada West Coast","Pacific Coast of Canada","Anoplopomatidae","Anoplopoma fimbria","Sablefish",3230,"MT",NA
