"comm_name","sci_name"
"SOLE, ENGLISH ","PAROPHRYS VETULUS"
"SOLE, FLATHEAD ","HIPPOGLOSSOIDES ELASSODON"
"SOLE, PETRALE ","EOPSETTA JORDANI"
"SOLE, REX ","GLYPTOCEPHALUS ZACHIRUS"
"SOLE, ROCK ","PARAPLAGUSIA BILINEATA"
"SOLE, SAND ","PSETTICHTHYS MELANOSTICTUS"
"SOLE, YELLOWFIN ","LIMANDA ASPERA"
"SOLES **","SOLEIDAE"
"SQUID, CALIFORNIA MARKET ","LOLIGO OPALESCENS"
"SQUID, JUMBO ","DOSIDICUS GIGAS"
"SQUIDS, LOLIGINIDAE **","LOLIGINIDAE"
"TOMCOD, PACIFIC ","MICROGADUS PROXIMUS"
"TROUT, LAKE ","SALVELINUS NAMAYCUSH"
"TROUT, RAINBOW ","ONCORHYNCHUS MYKISS"
"TUNA, ALBACORE ","THUNNUS ALALUNGA"
"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **","STRONGYLOCENTROTUS"
"VARDEN, DOLLY ","SALVELINUS MALMA"
"VERTEBRATES, JAWED","GNATHOSTOMATA "
"WHITEFISH, OCEAN ","CAULOLATILUS PRINCEPS"
"ALEWIFE ","ALOSA PSEUDOHARENGUS"
"BURBOT ","LOTA LOTA"
"CARP, COMMON ","CYPRINUS CARPIO"
"CATFISH, CHANNEL ","ICTALURUS PUNCTATUS"
"CHUBS **","COREGONUS"
"HERRING, LAKE OR CISCO ","COREGONUS ARTEDI"
"MOONEYES **","HIODONTIDAE"
"PERCH, YELLOW ","PERCA FLAVESCENS"
"SHAD, GIZZARD ","DOROSOMA CEPEDIANUM"
"SMELT, RAINBOW ","OSMERUS MORDAX"
"STURGEONS **","ACIPENSERIDAE"
"SUCKERS **","CATOSTOMIDAE"
"TROUT, BROWN ","SALMO TRUTTA"
"WHITEFISH, LAKE ","COREGONUS CLUPEAFORMIS"
"BASS, ROCK ","AMBLOPLITES RUPESTRIS"
"BULLHEAD, BROWN ","AMEIURUS NEBULOSUS"
"CRAPPIES **","POMOXIS"
"DRUM, FRESHWATER ","APLODINOTUS GRUNNIENS"
"GARFISHES **","LEPISOSTEIDAE"
"SUNFISHES **","CENTRARCHIDAE"
"WALLEYE","SANDER"
"BASS, WHITE ","MORONE CHRYSOPS"
"BOWFIN ","AMIA CALVA"
"BUFFALOFISHES **","ICTIOBUS"
"EEL, AMERICAN ","ANGUILLA ROSTRATA"
"GOLDFISH ","CARASSIUS AURATUS"
"MINNOWS **","CYPRINIDAE"
"PERCH, WHITE ","MORONE AMERICANA"
"QUILLBACK ","CARPIODES CYPRINUS"
"SAUGER","SANDER CANADENSIS"
"TROUT, BROOK ","SALVELINUS FONTINALIS"
"WHITEFISH, ROUND ","PROSOPIUM CYLINDRACEUM"
"CATFISHES-BULLHEADS, OTHER **","SILURIDAE"
"PADDLEFISH ","POLYODON SPATHULA"
"AMBERJACK, GREATER ","SERIOLA DUMERILI"
"AMBERJACK, LESSER ","SERIOLA FASCIATA"
"AMBERJACKS **","SERIOLA"
"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","SPHYRAENIDAE"
"BARRELFISH ","HYPEROGLYPHE PERCIFORMIS"
"BASS, BANK SEA ","CENTROPRISTIS OCYURUS"
"BASS, LONGTAIL ","HEMANTHIAS LEPTUS"
"BASS, STRIPED ","MORONE SAXATILIS"
"BASSES, MIXED SEA **","CENTROPRISTIS"
"BIGEYE ","PRIACANTHUS ARENATUS"
"BLUEFISH ","POMATOMUS SALTATRIX"
"BONITO, ATLANTIC ","SARDA SARDA"
"BROTULA, BEARDED ","BROTULA BARBATA"
"BUMPER, ATLANTIC ","CHLOROSCOMBRUS CHRYSURUS"
"BUTTERFISH ","PEPRILUS TRIACANTHUS"
"CATFISH, BLUE ","ICTALURUS FURCATUS"
"CATFISH, FLATHEAD ","PYLODICTIS OLIVARIS"
"CATFISHES, BULLHEAD **","ICTALURIDAE"
"CATFISHES, FORKTAIL **","ICTALURUS"
"CATFISHES, SEA **","ARIIDAE"
"CHUB, BERMUDA ","KYPHOSUS SECTATOR"
"COBIA ","RACHYCENTRON CANADUM"
"CRAB, BLUE ","CALLINECTES SAPIDUS"
"CRAB, FLORIDA STONE ","MENIPPE MERCENARIA"
"CROAKER, ATLANTIC ","MICROPOGONIAS UNDULATUS"
"CUSK ","BROSME BROSME"
"CUTLASSFISH, ATLANTIC ","TRICHIURUS LEPTURUS"
"DOLPHINFISH ","CORYPHAENA HIPPURUS"
"DOLPHINFISH **","CORYPHAENA SPP."
"DRUM, BLACK ","POGONIAS CROMIS"
"DRUM, RED ","SCIAENOPS OCELLATUS"
"DRUMS **","SCIAENIDAE"
"ESCOLAR ","LEPIDOCYBIUM FLAVOBRUNNEUM"
"FILEFISHES **","MONACANTHIDAE"
"GROUPER, BLACK ","MYCTEROPERCA BONACI"
"GROUPER, GAG ","MYCTEROPERCA MICROLEPIS"
"GROUPER, GOLIATH ","EPINEPHELUS ITAJARA"
"GROUPER, MARBLED","DERMATOLEPIS INERMIS"
"GROUPER, MISTY ","EPINEPHELUS MYSTACINUS"
"GROUPER, RED ","EPINEPHELUS MORIO"
"GROUPER, SNOWY ","EPINEPHELUS NIVEATUS"
"GROUPER, WARSAW ","EPINEPHELUS NIGRITUS"
"GROUPER, YELLOWEDGE ","EPINEPHELUS FLAVOLIMBATUS"
"GROUPER, YELLOWFIN ","MYCTEROPERCA VENENOSA"
"GROUPER, YELLOWMOUTH ","MYCTEROPERCA INTERSTITIALIS"
"GROUPERS, SERRANIDAE (FAMILY) **","SERRANIDAE"
"GRUNT, BARRED ","CONODON NOBILIS"
"GRUNTS, HAEMULIDAE (FAMILY) **","HAEMULIDAE"
"HAKE, WHITE ","UROPHYCIS TENUIS"
"HAKES, RED AND WHITE **","UROPHYCIS"
"HARVESTFISHES **","PEPRILUS"
"HERRING, ATLANTIC THREAD ","OPISTHONEMA OGLINUM"
"HIND, RED ","EPINEPHELUS GUTTATUS"
"HIND, ROCK ","EPINEPHELUS ADSCENSIONIS"
"HIND, SPECKLED ","EPINEPHELUS DRUMMONDHAYI"
"JACK, ALMACO ","SERIOLA RIVOLIANA"
"JACK, BAR","CARANGOIDES RUBER"
"JACK, BLUNTNOSE ","HEMICRANX AMBLYRHYNCHUS"
"JACK, CREVALLE ","CARANX HIPPOS"
"JELLYFISHES, STOMOLOPHUS (GENUS) **","STOMOLOPHUS"
"KINGFISH, GULF ","MENTICIRRHUS LITTORALIS"
"KINGFISHES **","MENTICIRRHUS"
"LADYFISH ","ELOPS SAURUS"
"LEAFFISH, AFRICAN ","POLYCENTROPSIS ABBREVIATA"
"LEATHERJACK ","OLIGOPLITES SAURUS"
"LIONFISHES **","PTEROIS  OKEN"
"LOBSTER, CARIBBEAN SPINY ","PANULIRUS ARGUS"
"LOBSTERS, SLIPPER **","SCYLLARIDAE"
"LOOKDOWN ","SELENE VOMER"
"MACKEREL, KING ","SCOMBEROMORUS CAVALLA"
"MACKEREL, KING AND CERO **","SCOMBEROMORUS"
"MACKEREL, SPANISH ","SCOMBEROMORUS MACULATUS"
"MACKERELS **","SCOMBER"
"MARLIN, WHITE","KAJIKIA ALBIDA"
"MENHADENS **","BREVOORTIA "
"MOONFISH, ATLANTIC ","SELENE SETAPINNIS"
"MULLET, STRIPED ","MUGIL CEPHALUS"
"MULLET, WHITE ","MUGIL CUREMA"
"MULLETS **","MUGILIDAE"
"OILFISH ","RUVETTUS PRETIOSUS"
"OYSTER, EASTERN ","CRASSOSTREA VIRGINICA"
"PERCH, SAND ","DIPLECTRUM FORMOSUM"
"PERMIT ","TRACHINOTUS FALCATUS"
"PIGFISH ","ORTHOPRISTIS CHRYSOPTERA"
"PINFISH ","LAGODON RHOMBOIDES"
"POMPANO, AFRICAN ","ALECTIS CILIARIS"
"POMPANO, FLORIDA ","TRACHINOTUS CAROLINUS"
"PORGIES **","SPARIDAE"
"PORGY, RED ","PAGRUS PAGRUS"
"PORGY, WHITEBONE ","CALAMUS LEUCOSTEUS"
"REDFISHES **","TRACHICHTHYIDAE"
"RUDDERFISH, BANDED ","SERIOLA ZONATA"
"RUNNER, BLUE ","CARANX CRYSOS"
"RUNNER, RAINBOW ","ELAGATIS BIPINNULATA"
"SCAD, BIGEYE ","SELAR CRUMENOPHTHALMUS"
"SCADS **","DECAPTERUS "
"SCAMP ","MYCTEROPERCA PHENAX"
"SCORPIONFISH, SPINYCHEEK ","NEOMERINTHE HEMINGWAYI"
"SCORPIONFISHES **","SCORPAENIDAE"
"SEATROUT, SAND ","CYNOSCION ARENARIUS"
"SEATROUT, SPOTTED ","CYNOSCION NEBULOSUS"
"SENNET, NORTHERN","SPHYRAENA BOREALIS"
"SHAD, THREADFIN ","DOROSOMA PETENENSE"
"SHARK, ANGEL, ATLANTIC","SQUATINA DUMERIL"
"SHARK, BIGNOSE ","CARCHARHINUS ALTIMUS"
"SHARK, BLACKNOSE","CARCHARHINUS ACRONOTUS"
"SHARK, BLACKNOSE ","CARCHARHINUS ACRONOTUS"
"SHARK, BLACKTIP","CARCHARHINUS LIMBATUS"
"SHARK, BLACKTIP ","CARCHARHINUS LIMBATUS"
"SHARK, BLUE","PRIONACE GLAUCA"
"SHARK, BLUE ","PRIONACE GLAUCA"
"SHARK, BONNETHEAD","SPHYRNA TIBURO"
"SHARK, BONNETHEAD ","SPHYRNA TIBURO"
"SHARK, BULL","CARCHARHINUS LEUCAS"
"SHARK, BULL ","CARCHARHINUS LEUCAS"
"SHARK, DOGFISH, SMOOTH","MUSTELUS CANIS"
"SHARK, DOGFISH, SMOOTH ","MUSTELUS CANIS"
"SHARK, FINETOOTH","CARCHARHINUS ISODON"
"SHARK, FINETOOTH ","CARCHARHINUS ISODON"
"SHARK, HAMMERHEAD, GREAT","SPHYRNA MOKARRAN"
"SHARK, HAMMERHEAD, GREAT ","SPHYRNA MOKARRAN"
"SHARK, HAMMERHEAD, SCALLOPED","SPHYRNA LEWINI"
"SHARK, HAMMERHEAD, SCALLOPED ","SPHYRNA LEWINI"
"SHARK, LEMON","NEGAPRION BREVIROSTRIS"
"SHARK, LEMON ","NEGAPRION BREVIROSTRIS"
"SHARK, MAKO, SHORTFIN","ISURUS OXYRINCHUS"
"SHARK, MAKO, SHORTFIN ","ISURUS OXYRINCHUS"
"SHARK, SAND TIGER","CARCHARIAS TAURUS"
"SHARK, SANDBAR ","CARCHARHINUS PLUMBEUS"
"SHARK, SHARPNOSE, ATLANTIC","RHIZOPRIONODON TERRAENOVAE"
"SHARK, SHARPNOSE, ATLANTIC ","RHIZOPRIONODON TERRAENOVAE"
"SHARK, SILKY","CARCHARHINUS FALCIFORMIS"
"SHARK, SILKY ","CARCHARHINUS FALCIFORMIS"
"SHARK, SPINNER","CARCHARHINUS BREVIPINNA"
"SHARK, SPINNER ","CARCHARHINUS BREVIPINNA"
"SHARK, TIGER","GALEOCERDO CUVIER"
"SHARK, TIGER ","GALEOCERDO CUVIER"
"SHARKS **","SQUALIFORMES"
"SHEEPSHEAD ","ARCHOSARGUS PROBATOCEPHALUS"
"SHRIMP, ATLANIC SEABOB ","XIPHOPENAEUS KROYERI"
"SHRIMP, MARINE **","DENDROBRANCHIATA"
"SHRIMP, NORTHERN BROWN ","FARFANTEPENAEUS AZTECUS"
"SHRIMP, NORTHERN PINK ","FARFANTEPENAEUS DUORARUM"
"SHRIMP, NORTHERN WHITE ","LITOPENAEUS SETIFERUS"
"SHRIMP, ROUGHNECK **","TRACHYPENAEUS"
"SHRIMP, ROYAL RED ","PLEOTICUS ROBUSTUS"
"SHRIMPS, PENAEOID **","PENAEOIDEA"
"SHRIMPS, ROCK **","SICYONIA"
"SNAPPER, BLACK ","APSILUS DENTATUS"
"SNAPPER, CUBERA ","LUTJANUS CYANOPTERUS"
"SNAPPER, GRAY ","LUTJANUS GRISEUS"
"SNAPPER, LANE ","LUTJANUS SYNAGRIS"
"SNAPPER, MUTTON ","LUTJANUS ANALIS"
"SNAPPER, QUEEN ","ETELIS OCULATUS"
"SNAPPER, RED ","LUTJANUS CAMPECHANUS"
"SNAPPER, SILK ","LUTJANUS VIVANUS"
"SNAPPER, VERMILION ","RHOMBOPLITES AURORUBENS"
"SNAPPER, YELLOWTAIL ","OCYURUS CHRYSURUS"
"SNAPPERS, LUTJANIDAE (FAMILY) **","LUTJANIDAE"
"SOAPFISHES, RYPTICUS (GENUS) **","RYPTICUS SPP."
"SPADEFISH","EPHIPPIDAE "
"SPOT ","LEIOSTOMUS XANTHURUS"
"SQUIRRELFISHES **","HOLOCENTRIDAE"
"STINGRAYS, DASYATIDAE (FAMILY) **","DASYATIDAE"
"SWORDFISH","XIPHIAS GLADIUS"
"SWORDFISH ","XIPHIAS GLADIUS"
"TERRAPIN, DIAMONDBACK ","MALACLEMYS TERRAPIN"
"TILEFISH, ANCHOR ","CAULOLATILUS INTERMEDIUS"
"TILEFISH, BLACKLINE ","CAULOLATILUS CYANOPS"
"TILEFISH, BLUELINE ","CAULOLATILUS MICROPS"
"TILEFISH, GOLDEN ","LOPHOLATILUS CHAMAELEONTICEPS"
"TILEFISH, GOLDFACE ","CAULOLATILUS CHRYSOPS"
"TILEFISHES **","MALACANTHIDAE"
"TRIGGERFISH, GRAY ","BALISTES CAPRISCUS"
"TRIGGERFISHES **","BALISTIDAE"
"TRIPLETAIL ","LOBOTES SURINAMENSIS"
"TUNA, BIGEYE","THUNNUS OBESUS"
"TUNA, BLACKFIN ","THUNNUS ATLANTICUS"
"TUNA, LITTLE TUNNY ","EUTHYNNUS ALLETTERATUS"
"TUNA, YELLOWFIN","THUNNUS ALBACARES"
"TUNA, YELLOWFIN ","THUNNUS ALBACARES"
"TUNAS **","THUNNUS"
"WAHOO ","ACANTHOCYBIUM SOLANDRI"
"WEAKFISH ","CYNOSCION REGALIS"
"WENCHMAN ","PRISTIPOMOIDES AQUILONARIS"
"ANCHOVIES **","ENGRAULIDAE"
"ANEMONE, GIANT CARIBBEAN ","CONDYLACTIS GIGANTEA"
"ANEMONE, OTHER **","ACTINIIDAE"
"ANEMONE, RINGED ","BARTHOLOMEA ANNULATA"
"ANEMONE, SPECKLED ","PHYMANTHUS CRUCIFER"
"ANEMONE, SUN ","STICHODACTYLA HELIANTHUS"
"ANEMONE, SUN ZOANTHID **","PALYTHOA"
"ANGELFISH, BLUE ","HOLOCANTHUS BERMUDENSIS"
"ANGELFISH, FRENCH ","POMACANTHUS PARU"
"ANGELFISH, GRAY ","POMACANTHUS ARCUATUS"
"ANGELFISH, QUEEN ","HOLACANTHUS CILIARIS"
"ANIMALIA **","ANIMALIA"
"ANIMALS, HYDRALIKE **","HYDROZOA"
"BALLOONFISH ","DIODON HOLOCANTHUS"
"BALLYHOO ","HEMIRAMPHUS BRASILIENSIS"
"BALLYHOOS **","HEMIRAMPHUS"
"BARBIER, RED ","HEMANTHIAS VIVANUS"
"BARRACUDA, GREAT ","SPHYRAENA BARRACUDA"
"BASS, BLACK SEA ","CENTROPRISTIS STRIATA"
"BASS, CAVE ","LIOPROPOMA MOWBRAYI"
"BASS, CHALK ","SERRANUS TORTUGARUM"
"BASS, HARLEQUIN ","SERRANUS TIGRINUS"
"BASS, LANTERN ","SERRANUS BALDWINI"
"BASS, PEPPERMINT ","LIOPROPOMA RUBRE"
"BASS, ROCK SEA ","CENTROPRISTIS PHILADELPHICA"
"BASS, ROUGHTONGUE ","PRONOTOGRAMMUS MARTINICENSIS"
"BASS, THREADNOSE ","ANTHIAS TENUIS"
"BASS, WRASSE ","LIOPROPOMA"
"BASSLET, THREELINE ","LIPOGRAMMA TRILINEATUM"
"BATFISH, OTHER **","HALIEUTICHTHYS"
"BEAUGREGORY ","STEGASTES"
"BEAUTY, ROCK ","HOLACANTHUS TRICOLOR"
"BIGEYES **","PRIACANTHIDAE"
"BILLFISHES **","ISTIOPHORIDAE"
"BISCUIT, INFLATED SEA ","CLYPEASTER PROSTRATUS"
"BISCUITS, SEA **","CLYPEASTER"
"BLENNY, BANDED ","PARACLINUS FASCIATUS"
"BLENNY, BARRED ","HYPLEUROCHILUS BERMUDENSIS"
"BLENNY, FLORIDA ","CHASMODES SABURRAE"
"BLENNY, GLASS ","EMBLEMARIOPSIS DIAPHANUS"
"BLENNY, HAIRY ","LABRISOMUS NUCHIPINNIS"
"BLENNY, MARBLED ","PARACLINUS MARMORATUS"
"BLENNY, OTHER **","BLENNIIDAE"
"BLENNY, REDLIP ","OPHIOBLENNIUS ATLANTICUS"
"BLENNY, SADDLED ","MALACOCTENUS TRIANGULATUS"
"BLENNY, SAILFIN ","EMBLEMARIA PANDIONIS"
"BLENNY, WRASSE ","HEMIEMBLEMARIA SIMULUS"
"BLUEHEAD ","THALASSOMA BIFASCIATUM"
"BOXFISHES **","OSTRACIIDAE"
"BREAM, RED ","BERYX DECADACTYLUS"
"BROTULA, BLACK ","STYGNOBROTULA"
"BROTULA, KEY ","OGILBIA"
"BRYOZOA","BRYOZOA "
"BURRFISH, STRIPED ","CHILOMYCTERUS SCHOEPFII"
"BURRFISHES","CHILOMYCTERUS SPP."
"BUTTERFISH, GULF ","PEPRILUS BURTI"
"BUTTERFLYFISH, BANDED ","CHAETODON STRIATUS"
"BUTTERFLYFISH, BANK ","PROGNATHODES AYA"
"BUTTERFLYFISH, FOUREYE ","CHAETODON CAPISTRATUS"
"BUTTERFLYFISH, FRENCH ","PROGNATHODES"
"BUTTERFLYFISH, LONGSNOUT ","PROGNATHODES ACULEATUS"
"BUTTERFLYFISH, REEF ","CHAETODON SEDENTARIUS"
"BUTTERFLYFISH, SPOTFIN ","CHAETODON OCELLATUS"
"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **","CHAETODONTIDAE"
"CARDINALFISH, TWOSPOT ","APOGON PSEUDOMACULATUS"
"CARDINALFISHES **","APOGONIDAE"
"CASSIOPEA, JAMAICAN ","CASSIOPEA XANTHOCHANA"
"CERO ","SCOMBEROMORUS REGALIS"
"CHERUBFISH ","CENTROPYGE"
"CHITONS **","POLYPLACOPHORA"
"CHROMIS, BLUE ","CHROMIS CYANEA"
"CHROMIS, BROWN ","CHROMIS MULTILINEATA"
"CLAM, ANGELWING ","CYRTOPLEURA COSTATA"
"CLAM, BOX, JEWEL **","CHAMIDAE"
"CLAM, FILE, ROUGH **","LOXORHYNCHUS"
"CLAM, FILE, SPINY ","LIMA LIMA"
"CLAM, QUAHOG, SOUTHERN ","MERCENARIA CAMPECHIENSIS"
"CLAM, VENUS, SUNRAY ","MACROCALLISTA NIMBOSA"
"CLAMS, PENSHELL **","PINNIDAE"
"CLAMS, QUAHOG, MERCENARIA **","MERCENARIA"
"CLINGFISHES **","GOBIESOCIDAE"
"CONCH, CROWN ","MELONGENA CORONA"
"CONCH, FLORIDA FIGHTING ","STROMBUS ALATUS"
"CONCH, HAWKWING ","STROMBUS RANINUS"
"CONCH, HORSE ","PLEUROPLOCA GIGANTEA"
"CONCH, MILK ","STROMBUS COSTATUS"
"CONCH, OTHER **","MESOGASTROPODA"
"CORAL, DEEPWATER ","SWIFTIA EXSERTA"
"CORALLIMORPH, DISCOSOMA **","DISCOSOMA"
"CORALLIMORPH, FLORIDA ","RICORDEA"
"CORALLIMORPHARIA **","CORALLIMORPHARIA"
"CORALLIMORPHIDAE **","CORALLIMORPHIDAE"
"CORALLINACEAE **","CORALLINACEAE"
"CORNETFISH, BLUESPOTTED ","FISTULARIA TABACARIA"
"COTTONWICK ","HAEMULON MELANURUM"
"COWFISH, HONEYCOMBED ","ACANTHOSTRACION POLYGONIUS"
"COWFISH, SCRAWLED ","ACANTHOSTRACION QUADRICORNIS"
"COWRIE, ATLANTIC DEER ","CYPRAEA CERVUS"
"COWRIE, ATLANTIC GRAY ","TALPARIA CINEREA"
"COWRIE, MEASLED ","CYPRAEA ZEBRA"
"CRAB, BLUE LAND ","CARDISOMA GUANHUMI"
"CRAB, FALSE ARROW ","METOPORHAPHIS CALCARATA"
"CRAB, FURCATE SPIDER ","STENOCIONOPS FURCATUS"
"CRAB, GOLDEN DEEPSEA ","CHACEON FENNERI"
"CRAB, GREEN CLINGING ","MITHRACULUS SCULPTUS"
"CRAB, HERMIT, GIANT ","PETROCHIRUS"
"CRAB, HERMIT, ORANGECLAW ","CALCINUS"
"CRAB, HERMIT, POLKADOTTED ","PHIMOCHIRUS OPERCULATUS"
"CRAB, HERMIT, STAREYE ","DARDANUS"
"CRAB, HERMIT, THINSTRIPE ","CLIBANARIUS VITTATUS"
"CRAB, HERMIT, TRICOLOR ","CLIBANARIUS TRICOLOR"
"CRAB, HORSESHOE ","LIMULUS POLYPHEMUS"
"CRAB, MITHRACULUS RUBER ","MITHRACULUS RUBER"
"CRAB, NIMBLE SPRAY ","PERCNON GIBBESI"
"CRAB, PAGURISTES ERYTHROPS ","PAGURISTES ERYTHROPS"
"CRAB, PAGURISTES PUNCTICEPS ","PAGURISTES PUNCTICEPS"
"CRAB, RED DEEPSEA ","CHACEON QUINQUEDENS"
"CRAB, RED-RIDGED CLINGING ","MITHRACULUS FORCEPS"
"CRAB, REDFINGER RUBBLE ","ERIPHIA GONAGRA"
"CRAB, SPOTTED PORCELAIN ","PORCELLANA SAYANA"
"CRAB, YELLOWLINE ARROW ","STENORHYNCHUS SETICORNIS"
"CRABS, BOX **","CALAPPIDAE"
"CRABS, BRACHYURA **","BRACHYURA"
"CRABS, CORAL SPIDER **","MITHRAX"
"CRABS, FIDDLER **","UCA"
"CRABS, HERMIT, PAGUROIDEA (SUPERFAMILY) **","PAGUROIDEA"
"CRABS, LAND HERMIT **","COENOBITIDAE"
"CRABS, LIBINIA **","LIBINIA"
"CRABS, MAJOIDEA **","MAJOIDEA "
"CRABS, MITHRACULUS **","MITHRACULUS "
"CRABS, PORCELAIN **","PORCELLANIDAE"
"CRABS, SAND **","HIPPIDAE"
"CRABS, STONE **","MENIPPE"
"CREOLE-FISH ","PARANTHIAS FURCIFER"
"CROAKER, REEF ","ODONTOSCION DENTEX"
"CUBBYU ","PAREQUES UMBROSUS"
"CUCUMBER, FLORIDA SEA ","HOLOTHURIA FLORIDANA"
"CUCUMBERS, OTHER SEA **","HOLOTHURIIDAE"
"CUTLASSFISHES **","TRICHIURUS "
"DAMSELFISH, BICOLOR ","STEGASTES PARTITUS"
"DAMSELFISH, COCOA ","STEGASTES VARIABILIS"
"DAMSELFISH, DUSKY ","STEGASTES FUSCUS"
"DAMSELFISH, LONGFIN ","STEGASTES DIENCAEUS"
"DAMSELFISH, THREESPOT ","STEGASTES PLANIFRONS"
"DAMSELFISH, YELLOWTAIL ","MICROSPATHODON CHRYSURUS"
"DAMSELFISHES **","POMACENTRIDAE"
"DICK, SLIPPERY ","HALICHOERES BIVITTATUS"
"DOCTORFISH ","ACANTHURUS CHIRURGUS"
"DOLLAR, NOTCHED SAND ","ENCOPE EMARGINATA"
"DOLLAR, SAND ","CLYPEASTER SUBDEPRESSUS"
"DOLLARS, KEYHOLE SAND **","MELLITA"
"DOLLARS, OTHER SAND **","MELLITIDAE"
