Release date,Department,Year,Date,Species (parts),Fishery type,Action (close/open),base on assumption,Reason,Type of Action,Where,S. Latitude (°N),N. Latitude (°N),Source,Link,Notes
"December 20, 2007",WDFW,2007,12-30-2007,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2008,2-28-2008,Dungeness Crab,commercial,close,yes,SMA,gear reduction,"Quinault SMA, Point Grenville to Raft River",47.18,47.28,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2008,4-30-2008,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quinault SMA, Point Grenville to Raft River",47.18,47.28,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2008,2-28-2008,Dungeness Crab,commercial,close,,SMA,closure,"Quinault  Secondary SMA, Copalis River to Point Grenville",47.08,47.18,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,Area closed to state fishers from the time that the PSMA closure ends until QIN has harvest 50% of the annual catch projection within the 60A-1 catch reporting area
"December 20, 2007",WDFW,2008,2-28-2008,Dungeness Crab,commercial,close,,SMA,closure,"Quinault Second SSMA, Point Grenville to Split Rock",47.18,47.24,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,Area closed to state fishers from the time that the PSMA closure ends until QIN has harvest 50% of the annual catch projection within the 59A-2 catch reporting area
"December 20, 2007",WDFW,2008,1-15-2008,Dungeness Crab,commercial,close,yes,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2008,5-1-2008,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2008,6-1-2008,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2008,01-15-2008,Dungeness Crab,commercial,close,yes,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2008,02-15-2008,Dungeness Crab,commercial,open,yes,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"November 24, 2008",WDFW,2008,12-01-2008,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/wa_Letter%20to%20Fishers_November%2024%2008.pdf,
"December 23, 2008",WDFW,2008,01-15-2009,Dungeness Crab,commercial,open,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,
"December 23, 2008",WDFW,2008,12-01-2008,Dungeness Crab,commercial,close,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,
"December 23, 2008",WDFW,2009,01-15-2009,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,
"December 23, 2008",WDFW,2009,12-01-2008,Dungeness Crab,commercial,close,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,
"January 8, 2009",WDFW,2009,01-15-2009,Dungeness Crab,commercial,open,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf,
"December 23, 2008",WDFW,2009,01-12-2009,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,
"December 23, 2008",WDFW,2009,02-28-2009,Dungeness Crab,commercial,close,yes,SMA,gear reduction,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,100 pot limits
"December 23, 2008",WDFW,2009,05-01-2009,Dungeness Crab,commercial,open,yes,SMA,gear reduction,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,
"December 23, 2008",WDFW,2009,02-28-2009,Dungeness Crab,commercial,close,,SMA,closure,"Quinault Secondary SMA, Copalis River to Point Grenville",47.08,47.1835,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,Area closed to state fishers from the time that the PSMA closure ends until QIN has harvest 50% of the annual catch projection within the 60A-1 catch reporting area
"December 23, 2008",WDFW,2009,02-28-2009,Dungeness Crab,commercial,close,,SMA,closure,"Quinault Second Secondary SMA, Point Grenville to Split Rock",47.1835,47.24,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/WA_Final_letter%20to%20fisher%2012-23-08.pdf,Area closed to state fishers from the time that the PSMA closure ends until QIN has harvest 50% of the annual catch projection within the 59A-2 catch reporting area
"January 8, 2009",WDFW,2009,01-15-2009,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf,
"January 8, 2009",WDFW,2009,05-01-2009,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf,
"April 23, 2009",WDFW,2009,06-01-2009,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/2008-2009%20Industry%20Notice_Quileute%20SMA%20opener.pdf,
"January 8, 2009",WDFW,2009,01-15-2009,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf,
"January 8, 2009",WDFW,2009,02-14-2009,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf,
"February 13, 2009",WDFW,2009,03-16-2009,Dungeness Crab,commercial,open,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/2008-2009_Industry%20Notice%20Makah%20SMA%20registration.pdf,
"June 3, 2009",WDFW,2009,06-06-2009,Dungeness Crab,commercial,open,,SMA,closure,From split rock to raft river,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2008-2009%20files/Industry%20Notice_Raft%20River%20to%20Split%20Rock%206%2009.pdf,Part of the Quinault SMA is open to state fishers
"December 18, 2009",WDFW,2009,12-01-2009,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2009,01-02-2010,Dungeness Crab,commercial,open,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2009,12-01-2009,Dungeness Crab,commercial,close,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2010,01-02-2010,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2009,12-01-2009,Dungeness Crab,commercial,close,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"January 8, 2010",WDFW,2010,01-15-2010,Dungeness Crab,commercial,open,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/WA%20Industry%20Notice.01.08.10.pdf,
"December 18, 2009",WDFW,2010,01-02-2010,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2010,03-01-2010,Dungeness Crab,commercial,open,,SMA,closure,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,this area open to state fishres with pot limits
"December 18, 2009",WDFW,2010,03-01-2010,Dungeness Crab,commercial,close,,SMA,closure,"Quinault Secondary SMA, Copalis River to Split Rock",47.08,47.245,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2010,01-15-2010,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2010,05-01-2010,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2010,06-01-2010,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"December 18, 2009",WDFW,2009,01-15-2010,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf,
"January 8, 2010",WDFW,2010,02-14-2010,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/WA%20Industry%20Notice.01.08.10.pdf,
"January 8, 2010",WDFW,2010,03-16-2010,Dungeness Crab,commercial,open,yes,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2009-2010%20files/WA%20Industry%20Notice.01.08.10.pdf,
"December 6, 2010",WDFW,2010,12-01-2010,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 6, 2010",WDFW,2010,12-01-2010,Dungeness Crab,commercial,close,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 6, 2010",WDFW,2011,01-15-2011,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 6, 2010",WDFW,2010,12-01-2010,Dungeness Crab,commercial,close,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 6, 2010",WDFW,2011,01-15-2011,Dungeness Crab,commercial,open,yes,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 6, 2010",WDFW,2011,01-15-2011,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 6, 2010",WDFW,2011,03-22-2011,Dungeness Crab,commercial,open,,SMA,closure,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,No info available of pot limits if any
"December 6, 2010",WDFW,2010,01-15-2011,Dungeness Crab,commercial,open,yes,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,it does not specify when the gear reduction is removed but we are assuming is when the area north to Klipsan beach opens
"December 6, 2010",WDFW,2011,03-22-2011,Dungeness Crab,commercial,close,,SMA,closure,"Quinault Secondary SMA, Copalis River to Split Rock",47.08,47.245,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,This portion of the Quinault SMA keeps closed to state fishers
"December 6, 2010",WDFW,2011,01-15-2011,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"April 27, 2011",WDFW,2011,05-01-2011,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/Industry_Notice_Quileute_SMA04272011.pdf,
"April 27, 2011",WDFW,2011,06-01-2011,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/Industry_Notice_Quileute_SMA04272011.pdf,
"December 6, 2010",WDFW,2011,01-15-2011,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 6, 2010",WDFW,2011,02-14-2011,Dungeness Crab,commercial,close,yes,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 6, 2010",WDFW,2011,03-16-2011,Dungeness Crab,commercial,open,yes,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf,
"December 09, 2010",ODFW,2010,12-10-2010,Dungeness Crab,commercial,close,,body condition,closure,"OR, from Rogue River to Cape Blanco",42.25,42.5,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/OR_2010_Closure_Notice_12_10_10.pdf,In season closure. Does not specify why
"December 09, 2010",ODFW,2010,1-16-2011,Dungeness Crab,commercial,open,,body condition,closure,"OR, from Rogue River to Cape Blanco",42.25,42.5,PSMFC,http://www.psmfc.org/crab/2010-2011%20Files/OR_2010_Closure_Notice_12_10_10.pdf,In season closure. Does not specify why
"December 8, 2011",CDFG,2011,12-1-2011,Dungeness Crab,commercial,close,,body condition,closure,Mendocino to Del Norte,38.7666488,41.9981226,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/CA_Jan15_opener.pdf,
"December 8, 2011",CDFG,2012,1-15-2012,Dungeness Crab,commercial,open,,body condition,closure,Mendocino to Del Norte,38.7666488,41.9981226,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/CA_Jan15_opener.pdf,
"November 10, 2011",ODFW,2011,12-1-2011,Dungeness Crab,commercial,close,,body condition,closure,OR,41.9981226,46.15,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW%20season_delay%20notice_111011.pdf,
"December 8, 2011",WDFW,2011,12-15-2011,Dungeness Crab,commercial,open,,body condition,closure,"North OR, from near Gold Beach to OR-WA border",42.26,46.15,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/WA_letter_12082011.pdf,
"December 8, 2011",WDFW,2012,1-15-2012,Dungeness Crab,commercial,open,,body condition,closure,"South OR, from OR-CA border to near Gold Beach",41.9981226,42.26,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/WA_letter_12082011.pdf,
"November 10, 2011",WDFW,2011,12-1-2011,Dungeness Crab,commercial,close,,body condition,closure,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/WA_111011.pdf,
"December 8, 2011",WDFW,2011,12-15-2011,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/WA_letter_12082011.pdf,
,Camila,2011,1-24-2012,Dungeness Crab,commercial,open,yes,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,,it does not specify when the gear reduction is removed but we are assuming is when the area north to Klipsan beach opens
"November 10, 2011",ODFW,2011,12-1-2011,Dungeness Crab,commercial,close,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW%20season_delay%20notice_111011.pdf,
"January 6, 2011",WDFW,2012,1-24-2012,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,
"November 10, 2011",ODFW,2011,12-1-2011,Dungeness Crab,commercial/recreational,close,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW%20season_delay%20notice_111011.pdf,
"January 6, 2011",WDFW,2012,1-24-2012,Dungeness Crab,commercial,open,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,
"January 6, 2012",WDFW,2012,1-24-2012,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,
"January 6, 2012",WDFW,2012,06-01-2012,Dungeness Crab,commercial,open,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,
"January 6, 2012",WDFW,2012,01-24-2012,Dungeness Crab,commercial,close,,SMA,closure,"Quinault Secondary SMA, Copalis River to Split Rock",47.08,47.245,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,
"May 14, 2012",WDFW,2012,06-01-2012,Dungeness Crab,commercial,close,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/WA_051412.pdf,
"May 14, 2012",WDFW,2012,07-01-2012,Dungeness Crab,commercial,open,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/WA_051412.pdf,
