Release date,Department,Year,Date,Species (parts),Fishery type,Action (close/open),date not clear,Reason,Where,Area,S. Latitude (°N),N. Latitude (°N),Source,Link,Notes
"December 16, 2016",ODFW,2016,12-16-2016,Crabs,recreational,open,,domoic acid,Cape Blanco to Winchester Bay,"ocean, bay",42.837608,43.67242,ODFW,https://www.dfw.state.or.us/news/2016/12_dec/121616.asp,There is an area along the coast that is still closed. Check out this map for clarifying: https://www.dfw.state.or.us/news/images/2016/121616_OpenAreas.jpg
"December 20, 2016",ODFW,2016,12-20-2016,Crabs,recreational,open,,domoic acid,OR,"ocean, bay, estuaries",41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2016/12_dec/122016.asp,
"December 21, 2016",ODFW,2016,01-01-2017,Dungeness Crab,commercial,open,,domoic acid,Cape Blanco to OR-WA border,,42.837608,46.15,ODFW,https://www.dfw.state.or.us/news/2016/12_dec/122116.asp,
"February 1, 2017",ODFW,2017,02-01-2017,Crabs,recreational,close,,domoic acid,Coos Bay to Haceta Head,,43.75123,44.1387313,ODFW,https://www.dfw.state.or.us/news/2017/02_feb/020117.asp,Lat coord from Google Maps. This closure includes Winchester Bay and the Siuslaw River in Florence. Crabbing within Coos Bay remains open.
"February 2, 2017",ODFW,2017,02-02-2017,Crabs,commercial,close,,domoic acid,Coos Bay to Haceta Head,,43.75123,44.1387313,ODFW,https://www.dfw.state.or.us/news/2017/02_feb/020217b.asp,Lat coord from Google Maps. 
"February 10, 2017",ODFW,2017,02-10-2017,Crabs,commercial/recreational,open,,domoic acid,Coos Bay to Haceta Head,,43.75123,44.1387313,ODFW,https://www.dfw.state.or.us/news/2017/02_feb/021017b.asp,Lat coord from Google Maps. 
"October 23, 2017",ODFW,2017,10-23-2017,Crabs,commercial/recreational,close,,domoic acid,CA-OR border to Coquille River,bay,41.9981226,43.1116505,ODFW,https://www.dfw.state.or.us/news/2017/10_Oct/102417.asp,
"November 15, 2017",ODFW,2017,11-15-2017,Crabs,commercial/recreational,close,,domoic acid,"Tahkenitch Creek, north of Winchester Bay and Reedsport, to Cape Foulweather, north of Newport",bay,43.799571,44.7723357,ODFW,https://www.dfw.state.or.us/news/2017/11_nov/111517.asp,
"November 16, 2017",ODFW,2017,12-01-2017,Dungeness Crab,commercial,close,,body condition,OR,ocean,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2017/11_nov/111617.asp,
"November 16, 2017",ODFW,2017,12-01-2017,Dungeness Crab,commercial,close,,body condition,OR,bay,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2017/11_nov/111617.asp,because commercial ocean crabbing is closed
"November 22, 2017",ODFW,2017,11-22-2017,Crabs,commercial/recreational,open,,domoic acid, Coquille River to the north jetty of Coos Bay,bay,43.1116505,43.359355,,https://www.dfw.state.or.us/news/2017/11_nov/112217c.asp,
"December 5, 2017",ODFW,2017,12-05-2017,Crabs,recreational,open,,domoic acid,Coquille River to OR-WA border,bay,43.124812,46.15,ODFW,https://www.dfw.state.or.us/news/2017/12_dec/120517.asp,
"November 16, 2017",ODFW,2017,12-01-2017,Dungeness Crab,commercial,close,,body condition/domoic acid,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2017/11_nov/111617.asp,
"December 21, 2017",ODFW,2018,01-15-2018,Dungeness Crab,commercial,open,,body condition,Cape Blanco to OR-WA border,,42.837608,46.15,ODFW,https://www.dfw.state.or.us/news/2017/12_dec/122117.asp,
"February 1, 2018",ODFW,2018,02-07-2018,Dungeness Crab,commercial,open,,domoic acid,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2018/02_feb/020118b.asp,
"February 16, 2018",ODFW,2018,02-16-2018,Crabs,recreational,close,,domoic acid,CA-OR border to Cape Blanco,"ocean, bay",41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2018/02_feb/021618b.asp,
"February 16, 2018",ODFW,2018,02-16-2018,Crabs,commercial,close,,evisceration order,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2018/02_feb/021618c.asp,
"March 5, 2018",ODFW,2018,03-05-2018,Crabs,recreational,open,,domoic acid,CA-OR border to Cape Blanco,"ocean, bay",41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2018/03_march/030518.asp,
"March 5, 2018",ODFW,2018,03-05-2018,Crabs,commercial,open,,evisceration order,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2018/03_march/030518.asp,
"October 19, 2018",ODFW,2018,10-19-2018,Crabs,commercial/recreational,close,,domoic acid,CA-OR border to Cape Blanco,bay,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2018/10_october/101918.asp,
"November 14, 2018",ODFW,2018,12-01-2018,Dungeness Crab,commercial,close,,body condition,OR,ocean,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2018/11_november/111418.asp,
"November 14, 2018",ODFW,2018,12-01-2018,Dungeness Crab,commercial,close,yes,body condition/domoic acid,CA-OR border to Cape Arago,ocean,41.9981226,43.3065139,ODFW,https://www.dfw.state.or.us/news/2018/11_november/111418.asp,added line to match closure reason with opening reason in line 48
"December 31, 2018",ODFW,2019,01-04-2019,Dungeness Crab,commercial,open,,body condition,Cape Arago to OR-WA border,,43.3065139,46.15,ODFW,https://www.dfw.state.or.us/news/2018/12_december/123118b.asp,
"January 24, 2019",ODFW,2019,02-01-2019,Dungeness Crab,commercial,open,,body condition/domoic acid,CA-OR border to Cape Arago,,41.9981226,43.3065139,ODFW,https://www.dfw.state.or.us/news/2019/01_Jan/012419b.asp,
"February 14, 2019",ODFW,2019,02-14-2019,Dungeness Crab,commercial,close,,evisceration order,CA-OR border to Bandon,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2019/02_Feb/021419b.asp,
"February 14, 2019",ODFW,2019,02-14-2019,"Red rock crab, dungeness crab",recreational,close,,domoic acid,CA-OR border to Bandon,bays,41.9981226,43.1116505,ODFW,https://www.dfw.state.or.us/news/2019/02_Feb/021419.asp,
"March 28, 2019",ODFW,2019,03-28-2019,Dungeness Crab,commercial,open,,evisceration order,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2019/03_Mar/032819.asp,
"March 28, 2019",ODFW,2019,03-28-2019,Crabs,recreational,open,,domoic acid,OR,,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2019/03_Mar/032819.asp,CHECK: It menstions the area of testing but not the precise area that is oppnening. Should we referecne the area that was closed in line 46 above
"May 10, 2019",ODFW,2019,05-10-2019,Crabs,recreational,close,,domoic acid,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2019/05_May/051019b.asp,
"May 10, 2019",ODFW,2019,05-10-2019,Crabs,commercial,close,,evisceration order,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2019/05_May/051019b.asp,
"May 24, 2019",ODFW,2019,05-10-2019,Crabs,recreational,open,,domoic acid,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2019/05_May/052419.asp,
"May 24, 2019",ODFW,2019,05-24-2019,Crabs,commercial,open,,evisceration order,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2019/05_May/052419.asp,
"November 13, 2019",ODFW,2019,12-01-2019,Dungeness Crab,commercial,close,,body condition,OR,,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2019/11_Nov/111319.asp,
"December 20, 2019",ODFW,2019,12-31-2019,Dungeness Crab,commercial,open,,body condition,OR,,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2019/12_Dec/122019.asp,
"November 20, 2020",ODFW,2020,12-01-2020,Dungeness Crab,commercial,close,,body condition,OR,,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2020/11_Nov/112020.asp,
"November 20, 2020",ODFW,2020,12-01-2020,Dungeness Crab,commercial,close,yes,body condition/domoic acid,Cape Falcon to OR-WA border,,45.7676203,46.15,ODFW,https://www.dfw.state.or.us/news/2020/11_Nov/112020.asp,added line to match closure reason with opening reason in line 48
"December 8, 2020",ODFW,2020,12-16-2020,Dungeness Crab,commercial,open,,body condition,CA-OR border to Cape Falcon,,41.9981226,45.7676203,ODFW,https://www.dfw.state.or.us/news/2020/12_Dec/120820b.asp,
"February 8, 2021",ODFW,2021,02-16-2021,Dungeness Crab,commercial,open,,body condition/domoic acid,Cape Falcon to OR-WA border,,45.7676203,46.15,ODFW,https://www.dfw.state.or.us/news/2021/02_feb/020821.asp,
"February 8, 2021",ODFW,2021,02-16-2021,Dungeness Crab,commercial,close,,evisceration order-OR vessels in WA waters,OR-WA border to Point Chehalis,,46.15,46.5318,ODFW,https://www.dfw.state.or.us/news/2021/02_feb/020821.asp,
