Year,Number,Date,Species (parts),Fishery type,Action (close/open),Reason,Type of action,Where (south to north),S. Latitude (°N),N. Latitude (°N),Link,Notes
2016,Chris,30-Jun-16,Dungeness crab (whole),Commercial/recreational,open,End-of-season,closure,Central region (Sonoma/Mendocino county line sorth),32.534343,38.766488,,
2016,16-041 ,6-Jul-16,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Pigeon Point, San Mateo County (37°11’ N) south",32.534343,37.18333333,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-041.aspx,
2016,Chris,30-Jul-16,Dungeness crab (whole),Commercial/recreational,open,End-of-season,closure,Northern region (Sonoma/Mendocino county line north),38.766488,42,,
2016,16-053,19-Aug-16,Rock crab (whole),Commercial/recreational,close,Domoic acid,advisory,"Cypress Point, Monterey County (36° 35′ N) to Pigeon Point (37° 11′ N)",36.58333333,37.18333333,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-053.aspx,
2016,16-053,19-Aug-16,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,advisory,"Cypress Point, Monterey County (36° 35′ N) to Pigeon Point (37° 11′ N)",36.58333333,37.18333333,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-053.aspx,
2016,16-066,26-Oct-16,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Cypress Point, Monterey County (36° 35′ N) to Pigeon Point (37° 11′ N)",36.58333333,37.18333333,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-066.aspx,
2016,16-066,26-Oct-16,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,Domoic acid,advisory,"Cypress Point, Monterey County (36° 35′ N) to Pigeon Point (37° 11′ N)",36.58333333,37.18333333,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-066.aspx,
2016,16-069,2-Nov-16,Mussels (whole),Recreational,open,Annual quarantine,closure,California coast ,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-069.aspx,Talks about Paralytic shellfish poisoning (PSP) toxins . Assuming is also equivalent to Domoic acid
2016,16-068,2-Nov-16,Dungeness crab (viscera),Recreational,close,Domoic acid,advisory,Point Reyes (38° 00′ N) north,38,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-068.aspx,
2016,16-70,8-Nov-16,Rock crab (whole),Commercial/recreational,close,Domoic acid,advisory,"Pigeon Point, San Mateo County (37° 11′ N) north",37.18333333,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-070.aspx,
2016,16-076,1-Dec-16,Dungeness crab (viscera),Commercial/recreational,open,Domoic acid,advisory,"Salt Point, Sonoma County (38°34.5’) south",32.534343,38.575,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-076.aspx,Announcement for two areas: Salt Point south and Humboldt Bay north (closure between)
2016,16-076,1-Dec-16,Dungeness crab (viscera),Commercial/recreational,open,Domoic acid,advisory,Humboldt Bay north jetty (40° 46.15’) north,40.76916667,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-076.aspx,Announcement for two areas: Salt Point south and Humboldt Bay north (closure between)
2016,16-081,16-Dec-16,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Monterey county,35.795184,36.851678,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-081.aspx,Talks about Paralytic shellfish poisoning (PSP) toxins . Assuming is also equivalent to Domoic acid
2016,16-083,20-Dec-16,Dungeness crab (viscera),Commercial/recreational,open,Domoic acid,advisory,Point Arena (38° 57.5') south,32.534343,38.95833333,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-083.aspx,Announcement for two areas: Point Arena (38° 57.5') south and Shelter Cove (40° 01' N) north
2016,16-083,20-Dec-16,Dungeness crab (viscera),Commercial/recreational,open,Domoic acid,advisory,Shelter Cove (40° 01' N) north,40.01666667,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-083.aspx,Announcement for two areas: Point Arena (38° 57.5') south and Shelter Cove (40° 01' N) north
2016,16-084,22-Dec-16,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,San Luis Obispo county,34.972058,35.795184,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-084.aspx,Talks about Paralytic shellfish poisoning (PSP) toxins . Assuming is also equivalent to Domoic acid
2016,16-085,23-Dec-16,Dungeness crab (viscera),Commercial/recreational,open,Domoic acid,advisory,Ten Mile River (39° 33.3’ N) south,32.534343,39.555,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-085.aspx,
2017,17-002,11-Jan-17,Dungeness crab (viscera),Commercial/recreational,open,Domoic acid,advisory,California coast ,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-002.aspx,The final health advisory lifted today was for Dungeness crabs caught in state waters in areas north of Latitude 39° 33.3’ N (near Ten Mile River) and south of Latitude 40° 01' N (near Shelter Cove). 
2017,17-008,25-Jan-17,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,Pillar Point (37° 30’ N) south,32.534343,37.5,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-008.aspx,
2017,17-018,2-Feb-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Mendocino county,38.766488,40.00126,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-018.aspx,
2017,17-020,8-Feb-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Tomales Bay and Humboldt Bay,NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-020.aspx,
2017,17-023,10-Feb-17,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,Bodega Head (38° 18’ N) south,32.534343,38.3,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-023.aspx,
2017,17-022,10-Feb-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Humboldt county,40.00126,41.464747,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-022.aspx,
2017,17-024,15-Feb-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Del Norte county,41.464747,41.9981226,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-024.aspx,
2017,17-028,7-Mar-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Monterey county,35.795184,36.851678,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-028.aspx,"Announcement for three areas: Montery county, San Luis Obispo county, Tomales Bay (still in effect in Del Norte, Humboldt and Mendocino Counties)"
2017,17-028,7-Mar-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,San Luis Obispo county,34.972058,35.795184,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-028.aspx,"Announcement for three areas: Montery county, San Luis Obispo county, Tomales Bay (still in effect in Del Norte, Humboldt and Mendocino Counties)"
2017,17-028,7-Mar-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Tomales Bay,NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-028.aspx,"Announcement for three areas: Montery county, San Luis Obispo county, Tomales Bay (still in effect in Del Norte, Humboldt and Mendocino Counties)"
2017,17-029,17-Mar-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Humboldt Bay,NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-029.aspx,Still in effect in Del Norte and Mendocino
2017,17-029,17-Mar-17,"Mussels (whole), scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Humboldt county,40.00126,41.464747,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-029.aspx,Still in effect in Del Norte and Mendocino
2017,17-033,12-Apr-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Mendocino county,38.766488,40.00126,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-033.aspx,Still in effect in Del Norte
2017,NR17-034 ,13-Apr-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,advisory,"Santa Barbara County, including the northern Channel Islands",34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-034.aspx,
2017,17-040,28-Apr-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Marin county,37.818542,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-040.aspx,
2017,17-042,28-Apr-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,advisory,Ventura county,34.047122,34.376279,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-042.aspx,
2017,17-041,1-May-17,Mussels (whole),Recreational,close,Annual quarantine,closure,California coast,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-041.aspx,
2017,17-044,5-May-17,Rock crab (whole),Commercial/recreational,close,Domoic acid,advisory,Santa Rosa Island and the northern Channel Islands - state waters,NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-44.aspx,
2017,17-044,5-May-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,advisory,Santa Barbara county,34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-44.aspx,
2017,17-049,2-Jun-17,"Scallops (whole), clams (whole)",Commercial/recreational,open,PSP,advisory,Del Norte county,41.464747,41.9981226,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-049.aspx,
2017,17-049,2-Jun-17,"Scallops (whole), clams (whole)",Commercial/recreational,open,PSP,advisory,Marin county,37.818542,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-049.aspx,
2017,17-051,6-Jun-17,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,advisory,Los Angeles county,33.746363,34.047122,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-051.aspx,
2017,Chris,30-Jun-17,Dungeness crab (whole),Commercial/recreational,open,End-of-season,closure,Central region (Sonoma/Mendocino county line sorth),32.534343,38.766488,,
2017,Chris,30-Jul-17,Dungeness crab (whole),Commercial/recreational,open,End-of-season,closure,Northern region (Sonoma/Mendocino county line north),38.766488,42,,
2017,17-068,18-Sep-17,"Scallops (whole), clams (whole)",Recreational,open,Domoic acid,advisory,Ventura and Santa Barbara counties,34.047122,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-068.aspx,
2017,17-073,19-Oct-17,"Scallops (whole), clams (whole)",Recreational,open,Domoic acid,advisory,Los Angeles county,33.746363,34.047122,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-073.aspx,
2017,17-077,24-Oct-17,Lobster (viscera),Commercial/recreational,close,Domoic acid,advisory,Santa Cruz Island (Santa Barbara County) and Anacapa Island (Ventura County),NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-077.aspx,
2017,17-078,31-Oct-17,Mussels (whole),Recreational,open,Annual quarantine,closure,Mendocino to Del Norte County,38.766488,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-078.aspx,Announcement for: all coastal counties except for Sonoma County
2017,17-078,31-Oct-17,Mussels (whole),Recreational,open,Annual quarantine,closure,Marin County south,32.534343,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-078.aspx,Announcement for: all coastal counties except for Sonoma County
2017,17-079,3-Nov-17,Dungeness crab (viscera),Recreational,close,Domoic acid,advisory,"Laguna Point, Mendocino County (39°29.400') to Humboldt Bay north jetty (40°46.150')",39.49,40.76916667,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-079.aspx,"Announcement for two areas: Laguna Point, Mendocino County (39°29.400') to Humboldt Bay north jetty (40°46.150') and Klamath River, Humboldt County (41°32.500') north "
2017,17-079,3-Nov-17,Dungeness crab (viscera),Recreational,close,Domoic acid,advisory,"Klamath River, Humboldt County (41°32.500') north ",41.54166667,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-079.aspx,"Announcement for two areas: Laguna Point, Mendocino County (39°29.400') to Humboldt Bay north jetty (40°46.150') and Klamath River, Humboldt County (41°32.500') north "
2017,17-087,22-Dec-17,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Laguna Point, Mendocino County (39°29.400') to Humboldt Bay north jetty (40°46.150')",39.49,40.76916667,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-087.aspx,
2017,17-090,29-Dec-17,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Klamath River, Humboldt County (41°32.500') north ",41.54166667,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR17-090.aspx,all of California now open
2018,18-001,3-Jan-18,Lobster (whole),Commercial/recreational,open,Domoic acid,advisory,"Santa Cruz Island, Santa Barbara County (south side) and Anacapa Island, Ventura County (north side)",NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-001.aspx,
2018,18-004,16-Jan-18,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Salt Point, Sonoma County (38° 34' N) south",32.534343,38.56666667,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-004.aspx,
2018,18-006,19-Jan-18,Mussels (whole),Recreational,open,PSP,advisory,Sonoma county,38.297137,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-006.aspx,
2018,18-008,26-Jan-18,Lobster (viscera),Commercial/recreational,open,Domoic acid,advisory,"Santa Cruz Island, Santa Barbara County (northeast end) and Anacapa Island, Ventura County (south side)",NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-008.aspx,
2018,18-010,31-Jan-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,San Luis Obispo county,34.972058,35.795184,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-010.aspx,
2018,18-011,1-Feb-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Monterey county,35.795184,36.851678,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-011.aspx,
2018,18-013,2-Mar-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Marin county,37.818542,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-013.aspx,
2018,18-014,7-Mar-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,San Mateo and San Francisco counties,37.107296,37.818542,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-014.aspx,
2018,18-015,13-Mar-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Sonoma county,38.297137,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-015.aspx,
2018,18-016,16-Mar-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Alameda and Contra Costa counties (San Francisco Bay),NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-016.aspx,
2018,18-018,30-Mar-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Santa Cruz county,36.851678,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-018.aspx,
2018,18-017,30-Mar-18,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,Sonoma/Mendocino County line (38° 46.1' N) south,32.534343,38.76833333,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-017.aspx,
2018,18-019,11-Apr-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,San Luis Obispo county,34.972058,35.795184,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-019.aspx,
2018,18-021,23-Apr-18,Rock crab (whole),Recreational,open,Domoic acid,advisory,Mendocino county,38.766488,40.00126,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-021.aspx,
2018,18-023,25-Apr-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Santa Barbara county,34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-023.aspx,
2018,18-026,1-May-18,Mussels (whole),Recreational,close,Annual quarantine,closure,California coast,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-026.aspx,
2018,18-027,1-May-18,Raw oysters (whole),Commercial/recreational,close,Norovirus illnesses,advisory,"South and Central Baynes Sound, British Columbia, Canada",NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-027.aspx,
2018,18-028,4-May-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Ventura county,34.047122,34.376279,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-028.aspx,
2018,18-031,25-May-18,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Alameda and Contra Costa counties (San Francisco Bay),NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-031.aspx,"Announcment for: Alameda, Contra Costa, Monterey, San Francisco, and San Mateo counties"
2018,18-031,25-May-18,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,San Mateo and San Francisco counties,37.107296,37.818542,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-031.aspx,"Announcment for: Alameda, Contra Costa, Monterey, San Francisco, and San Mateo counties"
2018,18-031,25-May-18,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Monterey county,35.795184,36.851678,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-031.aspx,"Announcment for: Alameda, Contra Costa, Monterey, San Francisco, and San Mateo counties"
2018,18-032,4-Jun-18,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Marin county,37.818542,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-032.aspx,Announcement for two areas: Marin and Ventura county
2018,18-032,4-Jun-18,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Ventura county,34.047122,34.376279,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-032.aspx,Announcement for two areas: Marin and Ventura county
2018,18-035,26-Jun-18,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Santa Barbara county,34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-035.aspx,"Announcement for three areas: SB, SC, and Sonoma counties"
2018,18-035,26-Jun-18,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Santa Cruz county,36.851678,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-035.aspx,"Announcement for three areas: SB, SC, and Sonoma counties"
2018,18-035,26-Jun-18,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Sonoma county,38.297137,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-035.aspx,"Announcement for three areas: SB, SC, and Sonoma counties"
