Year,Date,Species (parts),Fishery type,Action (close/open),Reason,Type of Action,Where,S. Latitude (°N),N. Latitude (°N),Link,Notes
2016,"May 12, 2016",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,Humboldt Bay north jetty (40° 46.15′ N) south,32.534343,40.76916667,https://cdfwmarine.wordpress.com/2016/05/04/northern-california-recreational-crab-season-update/,Two areas: Humboldt Bay north jetty (40° 46.15′ N) south and Reading Rock SMCA south end (41° 17.6’ N) north
2016,"May 12, 2016",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,Reading Rock SMCA south end (41° 17.6’ N) north,41.29333333,42,https://cdfwmarine.wordpress.com/2016/05/04/northern-california-recreational-crab-season-update/,Two areas: Humboldt Bay north jetty (40° 46.15′ N) south and Reading Rock SMCA south end (41° 17.6’ N) north
2016,"May 19, 2016",Dungeness crab (whole),Recreational,open,Domoic acid,closure,Humboldt Bay north jetty (40° 46.15′ N) to Reading Rock SMCA south end (41° 17.6’ N),40.76916667,41.29333333,https://cdfgnews.wordpress.com/2016/05/19/recreational-dungeness-crab-fishery-now-open-statewide-commercial-to-follow-in-seven-days/,Now the entire California coast is open to the recreational fishery
2016,"May 26, 2016",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,Humboldt Bay north jetty (40° 46.15′ N) to Reading Rock SMCA south end (41° 17.6’ N),40.76916667,41.29333333,https://cdfgnews.wordpress.com/2016/05/19/recreational-dungeness-crab-fishery-now-open-statewide-commercial-to-follow-in-seven-days/,Now the entire California coast is open to the recreational fishery
2016,"July 6, 2016",Rock crab (meat),Commercial/recreational,open,Domoic acid,closure,Pigeon Point (37° 11′ N) south,32.534343,37.18333333,https://cdfgnews.wordpress.com/2016/07/06/commercial-and-recreational-rock-crab-fisheries-now-open-at-pigeon-point-san-mateo-county/,
2016,"November 15, 2016",Dungeness crab (whole),Commercial ,close,Domoic acid,closure,Point Reyes to the Sonoma/Mendocino county line (38° 46.1’ N),38,38.76833333,https://cdfgnews.wordpress.com/2016/11/08/commercial-dungeness-crab-season-to-open-throughout-most-of-the-southern-fishery-one-area-will-remain-closed/,
2016,"November 15, 2016",Rock crab (whole),Commercial ,close,Domoic acid,closure,Pigeon Point (37° 11′ N) north,37.18333333,42,https://cdfgnews.wordpress.com/2016/11/08/commercial-dungeness-crab-season-to-open-throughout-most-of-the-southern-fishery-one-area-will-remain-closed/,
2016,"December 1, 2016",Dungeness crab (whole),Commercial ,close,Domoic acid,closure,Point Reyes (38° 00’ N) to Humboldt Bay north jetty (40° 46.15’ N),38,40.76916667,https://cdfgnews.wordpress.com/2016/11/23/more-of-commercial-dungeness-crab-fishery-to-open-some-areas-will-remain-closed/,
2016,"December 3, 2016",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,Point Reyes (38° 00’ N) to Salt Point (38° 34.5’N).,38,38.575,https://cdfgnews.wordpress.com/2016/12/01/more-of-commercial-dungeness-crab-fishery-to-open-dec-3-some-areas-will-remain-closed/,
2016,"December 24, 2016",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,"Salt Point, Sonoma County (38° 34.5’N. Lat.) to the Sonoma/Mendocino County line (38° 46.1’ N)",38.575,38.76833333,https://cdfgnews.wordpress.com/2016/12/20/more-of-commercial-dungeness-crab-fishery-to-open-one-area-will-remain-closed/,
2016,"December 26, 2016",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,Shelter Cove (40° 01′ N) to Humboldt Bay north jetty (40º 46.15' N),40.01666667,40.76916667,https://cdfgnews.wordpress.com/2016/12/20/more-of-commercial-dungeness-crab-fishery-to-open-one-area-will-remain-closed/,Two areas
2016,"December 26, 2016",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,Sonoma/Mendocino County line (38° 46.1’N) to Point Arena (38° 57.5′ N),38.76833333,38.95833333,https://cdfgnews.wordpress.com/2016/12/20/more-of-commercial-dungeness-crab-fishery-to-open-one-area-will-remain-closed/,Two areas
2016,"December 29, 2016",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,Point Arena (38° 57.5′ N) and Ten Mile River (39° 33.3′ N),38.19,39.555,https://cdfgnews.wordpress.com/2016/12/23/more-of-commercial-dungeness-crab-fishery-to-open-from-point-arena-to-ten-mile-one-area-still-closed/,
2017,"January 16, 2017",Dungeness crab (whole),Commercial ,open,Domoic acid,closure,"Ten Mile River, Mendocino County (39° 33.3′ N) to Shelter Cove, Humboldt County (40° 01′ N)",39.555,40.01666667,https://cdfgnews.wordpress.com/category/crab/page/9/,Whole coast should be open now
2017,"January 25, 2017",Rock crab (whole),Commercial ,open,Domoic acid,closure,"Pillar Point, San Mateo County (37° 30′ N) south",32.534343,37.5,https://cdfgnews.wordpress.com/2017/01/25/open-area-for-the-commercial-rock-crab-fishery-now-extends-to-pillar-point-san-mateo-county/,rec fishery open on this date
2017,"January 25, 2017",Rock crab (whole),Recreational,open,Domoic acid,closure,California coast,32.534343,42,https://cdfgnews.wordpress.com/2017/01/25/open-area-for-the-commercial-rock-crab-fishery-now-extends-to-pillar-point-san-mateo-county/,rec fishery open on this date (but don't know when opened)
2017,"February 10, 2017",Rock crab (whole),Commercial ,open,Domoic acid,closure,Bodega Bay (38° 18′ N.) south,32.534343,38.3,https://cdfgnews.wordpress.com/2017/01/25/open-area-for-the-commercial-rock-crab-fishery-now-extends-to-pillar-point-san-mateo-county/,rec fishery open on this date
2017,"December 1, 2017",Dungeness crab (whole),Commercial ,close,Body condition,closure,"Northern region (Districts 6,7,8,9)",38.76833333,42,http://www.psmfc.org/crab/2017-2018%20files/2017-18_1DECDELAY_DCRAB_NORTHOPENER.pdf,
2017,"December 16, 2017",Dungeness crab (whole),Commercial ,open,Body condition,closure,"Northern region (Districts 6,7,8,9)",38.76833333,42,http://www.psmfc.org/crab/2017-2018%20files/2017-18_1DECDELAY_DCRAB_NORTHOPENER.pdf,
2018,"January 16, 2018",Rock crab (whole),Commercial ,open,Domoic acid,closure,"Salt Point, Sonoma County (38° 34′ N) south",32.534343,38.56666667,https://cdfgnews.wordpress.com/2018/01/16/open-area-of-commercial-rock-crab-fishery-to-be-extended-to-salt-point-sonoma-county/,rec fishery open on this date
2018,"March 29, 2018",Rock crab (whole),Commercial ,open,Domoic acid,closure,Sonoma/Mendocino County line (38° 46.1′ N) south,32.534343,38.76833333,https://cdfgnews.wordpress.com/2018/03/29/opening-of-commercial-rock-crab-fishery-extended-to-sonoma-mendocino-county-line/,rec fishery open on this date
2018,"April 20, 2018",Rock crab (whole),Commercial ,open,Domoic acid,closure,Mendocino/Humboldt County line (40° 00.00'N) south,32.534343,40,https://cdfgnews.wordpress.com/2018/04/20/commercial-rock-crab-fishery-continues-to-be-extended-northward-to-near-the-mendocino-humboldt-county-line/,rec fishery open on this date
2018,"October 25, 2018",Dungeness crab (whole),Recreational,close,Domoic acid,closure,"Patrick's Point, Humboldt County (41º 9.00' N) north",41.15,42,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=161860&inline,
2018,"November 3, 2018",Dungeness crab (whole),Recreational,open,Domoic acid,closure,Patrick's Point (41° 8.00’N) north,41.13333333,42,https://cdfgnews.wordpress.com/2018/10/25/recreational-dungeness-crab-fishery-delayed-in-state-waters-in-northern-humboldt-and-del-norte-counties-due-to-public-health-hazard/,
2018,"November 15, 2018",Dungeness crab (whole),Commercial,close,Domoic acid,closure,Bodega Head (38° 18’ N) to Sonoma/Mendocino county line.,38.3,38.766488,https://cdfgnews.wordpress.com/2018/11/09/southern-commercial-dungeness-crab-season-delayed-in-ocean-waters-north-of-bodega-head-due-to-public-health-hazard/,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=162380&inline
2018,"November 15, 2018",Dungeness crab (whole),Commercial,open,Domoic acid,closure,Bodega Head SMR south boundary (38° 18’ N) south,32.534343,38.3,https://cdfgnews.wordpress.com/2018/11/09/southern-commercial-dungeness-crab-season-delayed-in-ocean-waters-north-of-bodega-head-due-to-public-health-hazard/,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=162380&inline
2018,"December 1, 2018",Dungeness crab (whole),Commercial,close,Body condition,closure,Sonoma/Mendocino county line north,38.766488,42,Juan Silva,
2018,"November 3, 2018",Dungeness crab (whole),Recreational,close,Body condition,closure,Sonoma/Mendocino county line north,38.766488,42,Juan Silva,
2018,"December 8, 2018",Dungeness crab (whole),Commercial,open,Domoic acid,closure,Bodega Head (38° 18’ N) to Sonoma/Mendocino county line.,38.3,38.766488,https://cdfgnews.wordpress.com/2018/12/03/commercial-dungeness-crab-season-to-open-in-sonoma-county/,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=162380&inline
2019,"January 15, 2019",Dungeness crab (whole),Commercial/recreational,open,Body condition,closure,Sonoma/Mendocino county line north,38.766488,42,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=163400&inline,
2019,"January 25, 2019",Dungeness crab (whole),Recreational,open,Domoic acid,closure,Patrick's Point (41° 8.00’N) north,41.15,42,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=164733&inline,
2019,"January 25, 2019",Dungeness crab (whole),Commercial,open,Domoic acid,closure,Patrick's Point (41° 8.00’N) north,41.15,42,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=164733&inline,
2019,"April 15, 2019",Dungeness crab (whole),Commercial,close,Whale entanglement,closure,California coast,32.534343,42,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=166185&inline.         ,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=166232&inline
2019,"May 23, 2019",Rock crab (whole),Commercial,open,Domoic acid,closure,"Cape Mendocino (40º 30.00' N) to Humboldt Bay north jetty (40º 46.15' N), including Humboldt Bay",40.5,40.76916667,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=169211&inline,
2019,"December 1, 2019",Dungeness crab (whole),Commercial,close,Body condition,closure,Sonoma/Mendocino county line north,38.766488,42,Juan Silva,
2019,"November 2, 2019",Dungeness crab (whole),Recreational,close,Body condition,closure,Sonoma/Mendocino county line north,38.766488,42,Juan Silva,
2019,"November 15, 2019",Dungeness crab (whole),Commercial,close,Whale entanglement,closure,Sonoma-Mendocino County line south,32.534343,38.766488,Juan Silva,
2019,"December 15, 2019",Dungeness crab (whole),Commercial,open,Whale entanglement,closure,Sonoma-Mendocino County line south,32.534343,38.766488,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=175214&inline,https://cdfgnews.wordpress.com/2019/11/20/dungeness-crab-commercial-season-update/
2019,"December 31, 2019",Dungeness crab (whole),Commercial/recreational,open,Body condition,closure,Sonoma/Mendocino county line north,38.766488,42,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=175413&inline,https://cdfgnews.wordpress.com/2019/12/20/northern-commercial-dungeness-crab-season-will-open-dec-31/
2020,"May 15, 2020",Dungeness crab (whole),Commercial,close,Whale entanglement,closure,Sonoma-Mendocino County line south,32.534343,38.766488,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=178563&inline,https://cdfgnews.wordpress.com/2020/04/15/dungeness-crab-commercial-season-update-2/
