"region","stockid","species_label","area","years_prod","years_rec"
"US Alaska","BKINGCRABSMI","Blue king crab (Paralithodes platypus)","Saint Matthews Island","1981-2007 (27 yr)",""
"US Alaska","DSOLEGA","Dover sole (Microstomus pacificus)","Gulf of Alaska","1978-2014 (37 yr)",""
"US Alaska","DUSROCKGA","Dusky rockfish (Sebastes variabilis)","Gulf of Alaska","1977-2014 (38 yr)","1977-2011 (35 yr)"
"US Alaska","FLSOLEBSAI","Flathead sole (Hippoglossoides elassodon)","Bering Sea and Aleutian Islands","1977-2014 (38 yr)",""
"US Alaska","FLSOLEGA","Flathead sole (Hippoglossoides elassodon)","Gulf of Alaska","1978-2014 (37 yr)","1978-2015 (38 yr)"
"US Alaska","GHALBSAI","Greenland halibut (Reinhardtius hippoglossoides)","Bering Sea and Aleutian Islands","1977-2014 (38 yr)","1960-2014 (55 yr)"
"US Alaska","HERRPWS","Pacific herring (Clupea pallasii pallasii)","Prince William Sound","1980-2005 (26 yr)","1980-2003 (24 yr)"
"US Alaska","HERRTOG","Pacific herring (Clupea pallasii pallasii)","Togiak District","1990-2009 (20 yr)",""
"US Alaska","NROCKBSAI","Northern rockfish (Sebastes polyspinis)","Bering Sea and Aleutian Islands","1977-2013 (37 yr)","1977-2011 (35 yr)"
"US Alaska","NROCKGA","Northern rockfish (Sebastes polyspinis)","Gulf of Alaska","1961-2002 (42 yr)","1961-2002 (42 yr)"
"US Alaska","NRSOLEEBSAI","Northern rock sole (Lepidopsetta polyxystra)","Eastern Bering Sea and Aleutian Islands","1975-2014 (40 yr)","1975-2014 (40 yr)"
"US Alaska","PCODGA","Pacific cod (Gadus macrocephalus)","Gulf of Alaska","1977-2014 (38 yr)","1977-2015 (39 yr)"
"US Alaska","PERCHEBSAI","Pacific ocean perch (Sebastes alutus)","Eastern Bering Sea and Aleutian Islands","1960-2013 (54 yr)","1960-2011 (52 yr)"
"US Alaska","POPERCHGA","Pacific ocean perch (Sebastes alutus)","Gulf of Alaska","1961-2014 (54 yr)","1961-2013 (53 yr)"
"US Alaska","REXSOLEGA","Rex sole (Glyptocephalus zachirus)","Gulf of Alaska","1982-2014 (33 yr)","1982-2008 (27 yr)"
"US Alaska","REYEROCKBSAI","Rougheye rockfish (Sebastes aleutianus)","Bering Sea and Aleutian Islands","1977-2014 (38 yr)","1977-2008 (32 yr)"
"US Alaska","REYEROCKGA","Rougheye rockfish (Sebastes aleutianus)","Gulf of Alaska","1977-2008 (32 yr)",""
"US Alaska","RKCRABBB","Red king crab (Paralithodes camtschaticus)","Bristol Bay","1975-2014 (40 yr)","1976-2015 (40 yr)"
"US Alaska","RKCRABNS","Red king crab (Paralithodes camtschaticus)","Norton Sound","1977-1997 (21 yr)",""
"US Alaska","RKCRABPI","Red king crab (Paralithodes camtschaticus)","Pribilof Islands","1981-2008 (28 yr)",""
"US Alaska","SABLEFEBSAIGA","Sablefish (Anoplopoma fimbria)","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","1960-2014 (55 yr)","1960-2013 (54 yr)"
"US Alaska","SNOWCRABBS","Snow crab (Chionoecetes opilio)","Bering Sea","1979-2014 (36 yr)","1980-2015 (36 yr)"
"US Alaska","TANNERCRABBSAI","Tanner crab (Chionoecetes bairdi)","Bering Sea and Aleutian Islands","1965-2014 (50 yr)","1965-2015 (51 yr)"
"US Alaska","WPOLLAI","Walleye pollock (Gadus chalcogrammus)","Aleutian Islands","1978-2014 (37 yr)","1978-2015 (38 yr)"
"US Alaska","WPOLLEBS","Walleye pollock (Gadus chalcogrammus)","Eastern Bering Sea","1979-2014 (36 yr)","1964-2013 (50 yr)"
"US Alaska","WPOLLGA","Walleye pollock (Gadus chalcogrammus)","Gulf of Alaska","1970-2014 (45 yr)","1970-2014 (45 yr)"
"US Alaska","YSOLEBSAI","Yellowfin sole (Limanda aspera)","Bering Sea and Aleutian Islands","1954-2014 (61 yr)",""
"US West Coast","ARFLOUNDPCOAST","Arrowtooth flounder (Atheresthes stomias)","Pacific Coast","1965-2006 (42 yr)","1965-2006 (42 yr)"
"US West Coast","BGROCKPCOAST","Blackgill rockfish (Sebastes melanostomus)","Pacific Coast","1950-2010 (61 yr)",""
"US West Coast","BLUEROCKCAL","Blue rockfish (Sebastes mystinus)","California","1960-2006 (47 yr)","1960-2007 (48 yr)"
"US West Coast","BOCACCSPCOAST","Bocaccio (Sebastes paucispinis)","Southern Pacific Coast","1954-2012 (59 yr)","1954-2013 (60 yr)"
"US West Coast","CABEZNCAL","Cabezon (Scorpaenichthys marmoratus)","Northern California","1973-2008 (36 yr)","1960-2009 (50 yr)"
"US West Coast","CABEZORECOAST","Cabezon (Scorpaenichthys marmoratus)","Oregon Coast","1980-2008 (29 yr)","1980-2009 (30 yr)"
"US West Coast","CABEZSCAL","Cabezon (Scorpaenichthys marmoratus)","Southern California","1970-2008 (39 yr)","1970-2009 (40 yr)"
"US West Coast","CALSCORPSCAL","California scorpionfish (Scorpaena guttata)","Southern California","1966-2001 (36 yr)",""
"US West Coast","CHILISPCOAST","Chilipepper (Sebastes goodei)","Southern Pacific Coast","1965-2014 (50 yr)","1965-2015 (51 yr)"
"US West Coast","CMACKPCOAST","Pacific chub mackerel (Scomber japonicus)","Pacific Coast","1983-2008 (26 yr)","1983-2015 (33 yr)"
"US West Coast","COWCODSCAL","Cowcod (Sebastes levis)","Southern California","1917-2014 (98 yr)",""
"US West Coast","CROCKPCOAST","Canary rockfish (Sebastes pinniger)","Pacific Coast","1966-2014 (49 yr)","1966-2015 (50 yr)"
"US West Coast","DKROCKPCOAST","Darkblotched rockfish (Sebastes crameri)","Pacific Coast","1972-2014 (43 yr)","1972-2015 (44 yr)"
"US West Coast","DSOLEPCOAST","Dover sole (Microstomus pacificus)","Pacific Coast","1959-2010 (52 yr)","1959-2011 (53 yr)"
"US West Coast","ESOLEPCOAST","English sole (Parophrys vetulus)","Pacific Coast","1939-2006 (68 yr)","1939-2007 (69 yr)"
"US West Coast","GOPHERSPCOAST","Gopher rockfish (Sebastes carnatus)","Southern Pacific Coast","1980-2004 (25 yr)","1980-2005 (26 yr)"
"US West Coast","GRNSTROCKPCOAST","Greenstriped rockfish (Sebastes elongatus)","Pacific Coast","1970-2008 (39 yr)","1970-2009 (40 yr)"
"US West Coast","GRSPROCKNCAL","Greenspotted rockfish (Sebastes chlorostictus)","Northern Pacific Coast","1916-2009 (94 yr)",""
"US West Coast","GRSPROCKSCAL","Greenspotted rockfish (Sebastes chlorostictus)","Southern Pacific Coast","1916-2009 (94 yr)",""
"US West Coast","KELPGREENLINGORECOAST","Kelp greenling (Hexagrammos decagrammus)","Oregon Coast","1980-2014 (35 yr)","1980-2015 (36 yr)"
"US West Coast","LINGCODNPCOAST","Lingcod (Ophiodon elongatus)","Northern Pacific Coast","1960-2008 (49 yr)","1960-2009 (50 yr)"
"US West Coast","LINGCODSPCOAST","Lingcod (Ophiodon elongatus)","Southern Pacific Coast","1972-2008 (37 yr)","1972-2009 (38 yr)"
"US West Coast","LNOSESKAPCOAST","Longnose skate (Beringraja rhina)","Pacific Coast","1950-2006 (57 yr)",""
"US West Coast","LSTHORNHPCOAST","Longspine thornyhead (Sebastolobus altivelis)","Pacific Coast","1981-2011 (31 yr)","1981-2012 (32 yr)"
"US West Coast","PHAKEPCOAST","Pacific hake (Merluccius productus)","Pacific Coast","1966-2015 (50 yr)","1966-2016 (51 yr)"
"US West Coast","POPERCHPCOAST","Pacific ocean perch (Sebastes alutus)","Pacific Coast","1940-2010 (71 yr)","1940-2010 (71 yr)"
"US West Coast","PSOLEPCOAST","Petrale sole (Eopsetta jordani)","Pacific Coast","1940-2014 (75 yr)","1940-2015 (76 yr)"
"US West Coast","SABLEFPCOAST","Sablefish (Anoplopoma fimbria)","Pacific Coast","1965-2014 (50 yr)",""
"US West Coast","SBELLYROCKPCOAST","Shortbelly rockfish (Sebastes jordani)","Pacific Coast","1960-2004 (45 yr)","1960-2005 (46 yr)"
"US West Coast","SNROCKPCOAST","Splitnose rockfish (Sebastes diploproa)","Pacific Coast","1960-2008 (49 yr)","1960-2009 (50 yr)"
"US West Coast","SPSDOGPCOAST","Spotted spiny dogfish (Squalus suckleyi)","Pacific Coast","1943-2010 (68 yr)",""
"US West Coast","SSTHORNHPCOAST","Shortspine thornyhead (Sebastolobus alascanus)","Pacific Coast","1978-2012 (35 yr)","1978-2013 (36 yr)"
"US West Coast","STFLOUNNPCOAST","Starry flounder (Platichthys stellatus)","Northern Pacific Coast","1985-2004 (20 yr)","1985-2005 (21 yr)"
"US West Coast","STFLOUNSPCOAST","Starry flounder (Platichthys stellatus)","Southern Pacific Coast","","1979-2005 (27 yr)"
"US West Coast","WROCKPCOAST","Widow rockfish (Sebastes entomelas)","Pacific Coast","1969-2014 (46 yr)","1969-2015 (47 yr)"
"US West Coast","YEYEROCKPCOAST","Yelloweye rockfish (Sebastes ruberrimus)","Pacific Coast","1916-2014 (99 yr)",""
"US West Coast","YTROCKNPCOAST","Yellowtail rockfish (Sebastes flavidus)","Northern Pacific Coast","1967-2005 (39 yr)","1967-2005 (39 yr)"
